epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1846,0.8063,0.823,0.3684,0.9149,0.1724,0.9442,0.875,0.8148,0.9242,0.3075,0.8558,0.6842,0.4038,0.9194
1,0.2157,0.7885,0.7876,0.5556,0.8605,0.167,0.9447,0.8417,0.8148,0.8636,0.3011,0.8436,0.7193,0.6327,0.7846
2,0.1795,0.7977,0.708,0.7222,0.7053,0.1675,0.9416,0.85,0.8148,0.8788,0.2982,0.8553,0.7193,0.6275,0.7937
3,0.1849,0.7012,0.7611,0.5556,0.8,0.1698,0.9414,0.8583,0.8148,0.8939,0.2972,0.8573,0.7368,0.6154,0.8387
4,0.1808,0.8731,0.7788,0.8636,0.7582,0.1725,0.9402,0.85,0.7963,0.8939,0.2943,0.8586,0.7632,0.6923,0.8226
5,0.1678,0.8321,0.7876,0.7059,0.8021,0.1873,0.9371,0.8583,0.7778,0.9242,0.2945,0.8691,0.7281,0.5192,0.9032
6,0.1835,0.8287,0.8142,0.7273,0.8352,0.1784,0.9371,0.85,0.7963,0.8939,0.2886,0.8831,0.7807,0.6923,0.8548
7,0.2067,0.812,0.6814,0.7419,0.6585,0.1707,0.9374,0.85,0.8519,0.8485,0.2886,0.8678,0.7456,0.898,0.6308
8,0.1939,0.8981,0.6814,0.9677,0.5732,0.1715,0.9355,0.85,0.8519,0.8485,0.2869,0.8741,0.7807,0.9444,0.6333
9,0.1922,0.8182,0.5841,0.88,0.5,0.1725,0.9355,0.85,0.8519,0.8485,0.2863,0.8817,0.7456,0.9608,0.5714
10,0.1774,0.7088,0.4956,0.7333,0.4592,0.1715,0.9349,0.8417,0.8148,0.8636,0.2838,0.8852,0.7719,0.8627,0.6984
11,0.189,0.845,0.6195,0.88,0.5455,0.1708,0.9346,0.8417,0.8148,0.8636,0.2878,0.8657,0.7719,0.8462,0.7097
12,0.1833,0.8168,0.6903,0.9048,0.6413,0.1712,0.9349,0.8333,0.7963,0.8636,0.2858,0.8764,0.7807,0.8431,0.7302
13,0.1882,0.905,0.6903,0.9615,0.6092,0.1706,0.9346,0.8417,0.8148,0.8636,0.2847,0.8744,0.7632,0.84,0.7031
14,0.1773,0.8602,0.6372,0.95,0.5699,0.1709,0.9355,0.8417,0.8148,0.8636,0.2859,0.875,0.7807,0.8462,0.7258
15,0.1832,0.8823,0.6637,0.96,0.5795,0.1708,0.9352,0.8417,0.8148,0.8636,0.288,0.8643,0.7719,0.8431,0.7143
16,0.1758,0.8561,0.6372,0.9091,0.5714,0.1711,0.9346,0.8417,0.8148,0.8636,0.2868,0.868,0.7807,0.8431,0.7302
17,0.1731,0.9121,0.708,1.0,0.6333,0.1712,0.9346,0.8333,0.7963,0.8636,0.2873,0.8676,0.7719,0.8269,0.7258
18,0.1882,0.7912,0.6195,0.9091,0.5495,0.1712,0.9349,0.8333,0.7963,0.8636,0.2862,0.8744,0.7895,0.8462,0.7419
19,0.1814,0.88,0.6814,0.96,0.6023,0.1714,0.9346,0.8333,0.7963,0.8636,0.2857,0.8758,0.7807,0.8431,0.7302
