epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1954,0.7833,0.7761,0.9455,0.0,0.1104,0.9478,0.9083,0.9368,0.8,0.1741,0.8512,0.8971,0.9821,0.5
1,0.2262,0.8129,0.806,0.96,0.3529,0.0998,0.9482,0.9167,0.9263,0.88,0.1842,0.8664,0.7941,0.8148,0.7143
2,0.2061,0.7308,0.6716,0.6731,0.6667,0.0981,0.9491,0.9167,0.9263,0.88,0.1689,0.8772,0.7941,0.7895,0.8182
3,0.2038,0.8027,0.6269,0.549,0.875,0.0968,0.9503,0.9083,0.9158,0.88,0.1867,0.8638,0.6912,0.6667,0.7857
4,0.1886,0.8577,0.7313,0.6923,0.8667,0.0963,0.9512,0.9083,0.9158,0.88,0.181,0.8862,0.6912,0.6481,0.8571
5,0.188,0.792,0.7015,0.7407,0.5385,0.0957,0.9503,0.9167,0.9263,0.88,0.1719,0.819,0.7206,0.7241,0.7
6,0.1918,0.809,0.6716,0.6154,0.8667,0.0954,0.9503,0.9083,0.9158,0.88,0.1882,0.8333,0.6912,0.6667,0.7857
7,0.179,0.8152,0.7612,0.7636,0.75,0.0955,0.9507,0.9167,0.9263,0.88,0.1827,0.8558,0.75,0.7407,0.7857
8,0.1831,0.7949,0.7164,0.7222,0.6923,0.0973,0.9524,0.9083,0.9263,0.84,0.1707,0.9077,0.8529,0.8545,0.8462
9,0.1727,0.9321,0.806,0.7885,0.8667,0.0943,0.9541,0.9167,0.9263,0.88,0.1581,0.9219,0.7941,0.7895,0.8182
10,0.2026,0.7756,0.7612,0.7885,0.6667,0.0936,0.9533,0.9,0.9053,0.88,0.1709,0.8259,0.7059,0.7069,0.7
11,0.1519,0.8114,0.7761,0.7966,0.625,0.0961,0.9549,0.9083,0.9263,0.84,0.1856,0.883,0.8235,0.8491,0.7333
12,0.17,0.8682,0.806,0.8364,0.6667,0.097,0.9562,0.9083,0.9263,0.84,0.1729,0.9283,0.8382,0.8679,0.7333
13,0.1641,0.7816,0.7761,0.8103,0.5556,0.1021,0.9562,0.9,0.9263,0.8,0.1795,0.8559,0.8088,0.9091,0.3846
14,0.1844,0.8612,0.7612,0.8113,0.5714,0.0945,0.9562,0.9083,0.9263,0.84,0.1666,0.8979,0.8382,0.8545,0.7692
15,0.181,0.8504,0.8657,0.9057,0.7143,0.0924,0.9566,0.9083,0.9263,0.84,0.1765,0.8943,0.7794,0.7736,0.8
16,0.172,0.8133,0.7612,0.7857,0.6364,0.0934,0.9566,0.9083,0.9263,0.84,0.1472,0.9086,0.8529,0.8793,0.7
17,0.1862,0.8231,0.8209,0.8269,0.8,0.0913,0.9549,0.9167,0.9158,0.92,0.1663,0.8931,0.7941,0.7719,0.9091
18,0.1565,0.888,0.8507,0.8929,0.6364,0.0935,0.9558,0.9083,0.9263,0.84,0.18,0.9082,0.8235,0.8302,0.8
19,0.1643,0.8917,0.8507,0.8519,0.8462,0.0926,0.9575,0.9083,0.9263,0.84,0.1656,0.9063,0.7941,0.8,0.7692
20,0.1884,0.7892,0.8507,0.9074,0.6154,0.0908,0.9562,0.9083,0.9053,0.92,0.1554,0.9497,0.7647,0.7091,1.0
