epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.3079,0.6313,0.5179,0.875,0.375,0.266,0.8272,0.7583,0.8846,0.6618,0.3285,0.6305,0.5263,0.7143,0.3448
1,0.2822,0.7917,0.7143,0.9,0.6111,0.2628,0.8272,0.75,0.8269,0.6912,0.3131,0.7426,0.6667,0.8571,0.4828
2,0.2779,0.6752,0.5536,0.5714,0.5476,0.2614,0.8238,0.75,0.75,0.75,0.3339,0.642,0.5965,0.5185,0.6667
3,0.2749,0.7234,0.6964,0.3125,0.85,0.2625,0.8247,0.75,0.7308,0.7647,0.3311,0.6765,0.5965,0.4444,0.7333
4,0.3015,0.6583,0.6964,0.45,0.8333,0.261,0.8238,0.7667,0.7885,0.75,0.3413,0.5588,0.5439,0.5652,0.5294
5,0.3078,0.6628,0.6071,0.625,0.5938,0.2605,0.8241,0.7667,0.8077,0.7353,0.3176,0.7057,0.6316,0.6552,0.6071
6,0.2685,0.7463,0.6607,0.6667,0.6585,0.2633,0.8235,0.725,0.6731,0.7647,0.3256,0.6013,0.6316,0.3636,0.8
7,0.3336,0.569,0.5179,0.5,0.5312,0.2605,0.8244,0.7667,0.8077,0.7353,0.3197,0.6458,0.614,0.5652,0.6471
8,0.2964,0.7032,0.5536,0.64,0.4839,0.2611,0.8252,0.75,0.8077,0.7059,0.3204,0.685,0.614,0.84,0.4375
9,0.3101,0.639,0.6071,0.7727,0.5,0.2603,0.8255,0.7667,0.8077,0.7353,0.3234,0.7012,0.6667,0.7778,0.5667
10,0.2851,0.751,0.6786,0.7619,0.6286,0.2602,0.8244,0.7667,0.8077,0.7353,0.332,0.6338,0.5965,0.75,0.4848
11,0.3133,0.6667,0.6607,0.8276,0.4815,0.2653,0.8264,0.75,0.8846,0.6471,0.3294,0.7103,0.5263,0.9524,0.2778
12,0.2706,0.825,0.625,0.85,0.5,0.2606,0.8232,0.7583,0.8077,0.7206,0.3152,0.7302,0.5439,0.8261,0.3529
13,0.3001,0.6816,0.6071,0.6667,0.5714,0.2608,0.8232,0.7583,0.8077,0.7206,0.3251,0.6852,0.5789,0.7778,0.4
14,0.2723,0.8379,0.75,0.7826,0.7273,0.2629,0.8241,0.7417,0.8462,0.6618,0.3113,0.7377,0.5789,0.8636,0.4
15,0.2564,0.8703,0.7321,1.0,0.6154,0.2611,0.8204,0.7167,0.6923,0.7353,0.3066,0.7187,0.6667,0.7391,0.6176
16,0.2528,0.75,0.7321,0.5714,0.7857,0.2665,0.817,0.725,0.6538,0.7794,0.3294,0.6638,0.6316,0.5357,0.7241
17,0.2692,0.8027,0.7321,0.6667,0.7714,0.2659,0.817,0.725,0.6538,0.7794,0.3352,0.6288,0.5614,0.4583,0.6364
18,0.3036,0.6188,0.625,0.5789,0.6486,0.2654,0.817,0.725,0.6538,0.7794,0.3317,0.684,0.6667,0.6667,0.6667
19,0.2948,0.6694,0.625,0.55,0.6667,0.2662,0.8165,0.725,0.6538,0.7794,0.3106,0.7222,0.6842,0.5417,0.7879
