epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1927,0.7712,0.8209,0.25,0.9455,0.1749,0.943,0.875,0.8148,0.9242,0.3103,0.855,0.7059,0.4375,0.9444
1,0.2005,0.7464,0.7761,0.4615,0.8519,0.1709,0.9433,0.875,0.8148,0.9242,0.3155,0.7991,0.6324,0.2667,0.9211
2,0.1845,0.75,0.791,0.3636,0.875,0.1689,0.9436,0.8667,0.8148,0.9091,0.3161,0.787,0.6324,0.4242,0.8286
3,0.1939,0.7485,0.791,0.3333,0.8909,0.1688,0.943,0.8583,0.8148,0.8939,0.3004,0.8355,0.7353,0.5862,0.8462
4,0.1881,0.9016,0.7761,0.8571,0.7547,0.1681,0.9425,0.8583,0.8148,0.8939,0.2947,0.8665,0.75,0.7241,0.7692
5,0.1856,0.8547,0.7313,0.7692,0.7222,0.1686,0.9416,0.8583,0.8148,0.8939,0.293,0.8767,0.8088,0.8125,0.8056
6,0.179,0.8348,0.806,0.75,0.8182,0.1702,0.9414,0.8583,0.8148,0.8939,0.2858,0.886,0.7794,0.7,0.8421
7,0.1996,0.7603,0.6269,0.6,0.6346,0.1673,0.9411,0.8417,0.8148,0.8636,0.2828,0.9006,0.8088,0.8889,0.7561
8,0.196,0.8885,0.7313,0.9375,0.6667,0.1687,0.9397,0.8417,0.8333,0.8485,0.2795,0.9048,0.8382,0.8857,0.7879
9,0.2011,0.7564,0.6716,0.8,0.6346,0.1698,0.9405,0.85,0.8519,0.8485,0.2879,0.8964,0.7647,0.9286,0.65
10,0.186,0.5364,0.5672,0.5556,0.569,0.1724,0.9394,0.85,0.7963,0.8939,0.2892,0.8693,0.7794,0.8182,0.7429
11,0.2063,0.8651,0.7313,0.9444,0.6531,0.1708,0.9377,0.8333,0.7963,0.8636,0.2947,0.8166,0.7059,0.7037,0.7073
12,0.1957,0.7722,0.6418,0.8571,0.5849,0.17,0.938,0.8417,0.8333,0.8485,0.2903,0.8835,0.8088,0.8519,0.7805
13,0.1835,0.9179,0.6119,0.9333,0.5192,0.17,0.9377,0.8417,0.8333,0.8485,0.2875,0.857,0.7647,0.9,0.6579
14,0.1729,0.9197,0.6119,1.0,0.5273,0.1701,0.9374,0.85,0.8333,0.8636,0.2779,0.9329,0.8088,0.8065,0.8108
15,0.1885,0.8731,0.597,1.0,0.4808,0.1701,0.9377,0.8417,0.8333,0.8485,0.28,0.9193,0.8529,0.875,0.8333
16,0.1893,0.8128,0.597,0.8667,0.5192,0.1702,0.9374,0.8417,0.8333,0.8485,0.2818,0.8753,0.7941,0.9032,0.7027
17,0.1744,0.9218,0.6716,1.0,0.5849,0.1704,0.9363,0.8417,0.8333,0.8485,0.2984,0.8382,0.75,0.8235,0.6765
18,0.2031,0.7513,0.6119,0.8,0.5577,0.1707,0.9355,0.8417,0.8333,0.8485,0.2886,0.8759,0.8088,0.9062,0.7222
19,0.1973,0.8482,0.6716,0.9412,0.58,0.1708,0.9355,0.8417,0.8333,0.8485,0.2971,0.832,0.75,0.8788,0.6286
