FPR,TPR,Threshold
0.0,0.0,1.969283103942871
0.0,0.0009615384615384616,0.9692831039428711
0.0,0.021153846153846155,0.9469048380851746
0.0007352941176470588,0.021153846153846155,0.9461398124694824
0.0007352941176470588,0.025961538461538463,0.9445405602455139
0.0014705882352941176,0.025961538461538463,0.9425220489501953
0.0014705882352941176,0.026923076923076925,0.9422222971916199
0.0022058823529411764,0.026923076923076925,0.9421547055244446
0.0022058823529411764,0.03076923076923077,0.9409075975418091
0.0029411764705882353,0.03076923076923077,0.9404072165489197
0.0029411764705882353,0.032692307692307694,0.9378523230552673
0.003676470588235294,0.032692307692307694,0.9355220198631287
0.003676470588235294,0.03461538461538462,0.9316622018814087
0.004411764705882353,0.03461538461538462,0.9316511154174805
0.004411764705882353,0.0375,0.9311200976371765
0.005147058823529412,0.0375,0.9310429096221924
0.005147058823529412,0.038461538461538464,0.9307329058647156
0.0058823529411764705,0.038461538461538464,0.9305636882781982
0.0058823529411764705,0.03942307692307692,0.930204451084137
0.006617647058823529,0.03942307692307692,0.9301859736442566
0.006617647058823529,0.041346153846153845,0.928656816482544
0.007352941176470588,0.041346153846153845,0.9282256364822388
0.007352941176470588,0.04326923076923077,0.9270561933517456
0.008088235294117648,0.04326923076923077,0.9260808825492859
0.008088235294117648,0.04519230769230769,0.9244576096534729
0.008823529411764706,0.04519230769230769,0.9239346981048584
0.008823529411764706,0.06538461538461539,0.9135196805000305
0.009558823529411765,0.06538461538461539,0.9118338823318481
0.009558823529411765,0.07692307692307693,0.9040076732635498
0.010294117647058823,0.07692307692307693,0.903817355632782
0.010294117647058823,0.07788461538461539,0.903612494468689
0.011029411764705883,0.07788461538461539,0.9035212993621826
0.011029411764705883,0.08173076923076923,0.9011099338531494
0.011764705882352941,0.08173076923076923,0.9001930952072144
0.011764705882352941,0.09903846153846153,0.8883848786354065
0.0125,0.09903846153846153,0.8882107138633728
0.0125,0.10096153846153846,0.8876675963401794
0.013235294117647059,0.10096153846153846,0.8868783712387085
0.013235294117647059,0.10673076923076923,0.8830931782722473
0.013970588235294118,0.10673076923076923,0.8817158937454224
0.013970588235294118,0.11538461538461539,0.8750944137573242
0.014705882352941176,0.11538461538461539,0.87496417760849
0.014705882352941176,0.125,0.8726268410682678
0.015441176470588236,0.125,0.8721429705619812
0.015441176470588236,0.12788461538461537,0.8709328174591064
0.016176470588235296,0.12788461538461537,0.8706247806549072
0.016176470588235296,0.12884615384615383,0.8705304265022278
0.016911764705882352,0.12884615384615383,0.8703743815422058
0.016911764705882352,0.13557692307692307,0.8688459992408752
0.01764705882352941,0.13557692307692307,0.8679628372192383
0.01764705882352941,0.14615384615384616,0.8609086871147156
0.01838235294117647,0.14615384615384616,0.8581447601318359
0.01838235294117647,0.15096153846153845,0.8564304113388062
0.01911764705882353,0.15096153846153845,0.8560943007469177
0.01911764705882353,0.1576923076923077,0.8495545983314514
0.019852941176470587,0.1576923076923077,0.8493662476539612
0.019852941176470587,0.16153846153846155,0.8468241691589355
0.020588235294117647,0.16153846153846155,0.8464418053627014
0.020588235294117647,0.1625,0.84629887342453
0.021323529411764706,0.1625,0.8453711271286011
0.021323529411764706,0.17596153846153847,0.8399530053138733
0.022058823529411766,0.17596153846153847,0.8399433493614197
0.022058823529411766,0.18269230769230768,0.835666298866272
0.022794117647058822,0.18269230769230768,0.8350585103034973
0.022794117647058822,0.18365384615384617,0.8350030183792114
0.023529411764705882,0.18365384615384617,0.8348628878593445
0.023529411764705882,0.18653846153846154,0.8327065110206604
0.02426470588235294,0.18653846153846154,0.8320931196212769
0.02426470588235294,0.18846153846153846,0.8315691947937012
0.025,0.18846153846153846,0.8312438130378723
0.025,0.20096153846153847,0.8244547247886658
0.025735294117647058,0.20096153846153847,0.8242504596710205
0.025735294117647058,0.20576923076923076,0.8224796652793884
0.026470588235294117,0.20576923076923076,0.8221697807312012
0.026470588235294117,0.225,0.8098400235176086
0.027205882352941177,0.225,0.8096685409545898
0.027205882352941177,0.23846153846153847,0.7992849946022034
0.027941176470588237,0.23846153846153847,0.7992040514945984
0.027941176470588237,0.2586538461538462,0.7870422601699829
0.028676470588235293,0.2586538461538462,0.7869144678115845
0.028676470588235293,0.25961538461538464,0.7852244973182678
0.029411764705882353,0.25961538461538464,0.783613383769989
0.029411764705882353,0.26153846153846155,0.7833075523376465
0.030147058823529412,0.26153846153846155,0.7823530435562134
0.030147058823529412,0.2653846153846154,0.7820440530776978
0.030882352941176472,0.2653846153846154,0.7818782925605774
0.030882352941176472,0.26826923076923076,0.7809828519821167
0.03161764705882353,0.26826923076923076,0.7802677750587463
0.03161764705882353,0.2721153846153846,0.7779082655906677
0.03308823529411765,0.2721153846153846,0.7773033380508423
0.03308823529411765,0.28557692307692306,0.7715421319007874
0.03455882352941177,0.28557692307692306,0.7700135111808777
0.03455882352941177,0.28942307692307695,0.7690433859825134
0.03529411764705882,0.28942307692307695,0.7685407996177673
0.03529411764705882,0.2923076923076923,0.7673602104187012
0.03602941176470588,0.2923076923076923,0.7671687602996826
0.03602941176470588,0.29423076923076924,0.7662879228591919
0.03676470588235294,0.29423076923076924,0.7657575011253357
0.03676470588235294,0.2971153846153846,0.7652238011360168
0.0375,0.2971153846153846,0.7646867632865906
0.0375,0.29903846153846153,0.7640120983123779
0.03823529411764706,0.29903846153846153,0.7638407349586487
0.03823529411764706,0.3,0.762729287147522
0.03897058823529412,0.3,0.762673556804657
0.03897058823529412,0.3057692307692308,0.7602303624153137
0.03897058823529412,0.3076923076923077,0.759917676448822
