epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2701,0.81,0.697,0.75,0.68,0.2505,0.8334,0.7417,0.8077,0.6912,0.3004,0.8214,0.7647,0.9,0.5714
1,0.2732,0.7685,0.697,0.6667,0.7083,0.2497,0.832,0.7667,0.8077,0.7353,0.3295,0.7321,0.6765,0.6,0.7857
2,0.2356,0.8736,0.8182,0.7143,0.8462,0.2532,0.8292,0.725,0.6923,0.75,0.3038,0.7607,0.7059,0.5,0.85
3,0.2355,0.935,0.8788,0.5,1.0,0.2566,0.8272,0.7167,0.6154,0.7941,0.2983,0.8632,0.7353,0.4667,0.9474
4,0.3086,0.6281,0.6364,0.0909,0.9091,0.2562,0.8272,0.7167,0.6346,0.7794,0.2993,0.8106,0.7353,0.4167,0.9091
5,0.2883,0.7698,0.6364,0.5,0.7143,0.2512,0.8292,0.7333,0.7115,0.75,0.3079,0.7951,0.7059,0.5625,0.8333
6,0.241,0.8571,0.7576,0.7143,0.7692,0.2537,0.8292,0.725,0.6731,0.7647,0.2859,0.9263,0.7647,0.6,0.8947
7,0.2961,0.9081,0.7576,0.6471,0.875,0.2504,0.8298,0.7417,0.7308,0.75,0.2686,0.8489,0.7647,0.6667,0.8
8,0.3168,0.7316,0.6667,0.625,0.7059,0.2498,0.8292,0.7583,0.7885,0.7353,0.308,0.7766,0.7353,0.8462,0.6667
9,0.2613,0.9132,0.8485,0.6364,0.9545,0.2497,0.8292,0.7583,0.8077,0.7206,0.3122,0.7465,0.6765,0.6875,0.6667
10,0.2923,0.7183,0.697,0.5833,0.7619,0.2497,0.8283,0.7583,0.8077,0.7206,0.3125,0.782,0.7353,0.7059,0.7647
11,0.3048,0.8074,0.7576,0.8333,0.6667,0.25,0.8295,0.7667,0.8269,0.7206,0.3091,0.7729,0.6471,0.7692,0.5714
12,0.2509,0.92,0.7576,1.0,0.68,0.2498,0.8289,0.7583,0.8077,0.7206,0.2849,0.9011,0.7941,0.8462,0.7619
13,0.279,0.7645,0.697,0.7273,0.6818,0.2498,0.8286,0.7583,0.8077,0.7206,0.3026,0.7917,0.7647,0.8333,0.6875
14,0.2726,0.8885,0.7879,0.6923,0.85,0.2497,0.8289,0.7583,0.8077,0.7206,0.2859,0.8523,0.7647,0.9167,0.6818
15,0.2681,0.8043,0.7576,0.6,0.8261,0.2497,0.8289,0.7583,0.8077,0.7206,0.3136,0.6875,0.6765,0.625,0.7222
16,0.2552,0.835,0.6667,0.625,0.68,0.2498,0.8289,0.75,0.7885,0.7206,0.3106,0.7336,0.6765,0.7647,0.5882
17,0.2977,0.7889,0.7273,0.7333,0.7222,0.2497,0.8286,0.7583,0.8077,0.7206,0.3099,0.7436,0.7059,0.8462,0.619
18,0.2813,0.8647,0.7879,0.8571,0.7368,0.2497,0.8289,0.7583,0.8077,0.7206,0.2992,0.775,0.7647,0.7857,0.75
19,0.2676,0.8739,0.7879,0.7,0.8261,0.2497,0.8289,0.7583,0.8077,0.7206,0.3275,0.6354,0.6176,0.6667,0.5625
