epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1675,0.7519,0.6889,0.7143,0.6842,0.1475,0.9571,0.875,0.8704,0.8788,0.261,0.8866,0.7826,0.6522,0.913
1,0.1572,0.9291,0.8222,0.875,0.8108,0.147,0.9565,0.875,0.8704,0.8788,0.2835,0.8876,0.6957,0.52,0.9048
2,0.149,0.9211,0.8667,0.7143,0.8947,0.1466,0.9562,0.8667,0.8519,0.8788,0.2461,0.9261,0.8478,0.7273,0.9583
3,0.1544,0.8609,0.8889,0.7143,0.9211,0.1463,0.9562,0.8667,0.8519,0.8788,0.2485,0.8803,0.7826,0.6471,0.8621
4,0.1671,0.8796,0.8444,0.7778,0.8611,0.146,0.9559,0.8667,0.8519,0.8788,0.2546,0.8889,0.7826,0.6111,0.8929
5,0.1815,0.8395,0.7333,0.7778,0.7222,0.1466,0.9554,0.875,0.8889,0.8636,0.2358,0.9811,0.913,0.8696,0.9565
6,0.1501,0.9122,0.7778,0.875,0.7568,0.1469,0.9554,0.875,0.8889,0.8636,0.2332,0.9688,0.8913,0.8947,0.8889
7,0.2019,0.8258,0.7556,0.75,0.7576,0.1473,0.9557,0.9,0.9444,0.8636,0.2353,0.9841,0.8478,1.0,0.75
8,0.1857,0.9062,0.8,0.8462,0.7812,0.1518,0.9545,0.9083,0.9815,0.8485,0.2238,0.9714,0.8478,0.9524,0.76
9,0.1714,0.8829,0.5778,0.9,0.4857,0.1528,0.9548,0.9083,0.9815,0.8485,0.2437,0.9226,0.7174,0.8889,0.6071
10,0.1468,0.7805,0.6444,0.75,0.6341,0.1476,0.9543,0.8833,0.9074,0.8636,0.2403,0.9276,0.7609,0.9048,0.64
11,0.1912,0.7754,0.6222,0.8182,0.5588,0.1475,0.9543,0.8833,0.9074,0.8636,0.2585,0.877,0.7826,0.8889,0.7143
12,0.1693,0.8519,0.6667,0.8889,0.6111,0.1471,0.9545,0.8833,0.9074,0.8636,0.248,0.9318,0.8261,0.8421,0.8148
13,0.167,0.858,0.7333,0.7778,0.7222,0.1472,0.9545,0.8833,0.9074,0.8636,0.2507,0.9084,0.7826,0.8421,0.7407
14,0.1369,0.9549,0.7556,1.0,0.7105,0.1464,0.9545,0.875,0.8889,0.8636,0.2519,0.9187,0.7826,0.7391,0.8261
15,0.1787,0.8514,0.7111,0.9,0.6571,0.1463,0.9545,0.8667,0.8704,0.8636,0.2335,0.979,0.8913,0.88,0.9048
16,0.1748,0.8965,0.7111,0.8333,0.6667,0.1465,0.9545,0.8667,0.8704,0.8636,0.2321,0.928,0.8478,0.8636,0.8333
17,0.162,0.8765,0.7556,0.7778,0.75,0.1467,0.9548,0.875,0.8889,0.8636,0.2703,0.8495,0.7391,0.84,0.619
18,0.198,0.7701,0.7333,0.6364,0.7647,0.1468,0.9548,0.875,0.8889,0.8636,0.2419,0.9333,0.8913,0.9048,0.88
19,0.1622,0.8886,0.7556,0.9,0.7143,0.1469,0.9548,0.8833,0.9074,0.8636,0.2483,0.9149,0.8261,0.8696,0.7826
