epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1976,0.7531,0.5778,0.5,0.8889,0.1014,0.9558,0.9083,0.9158,0.88,0.1686,0.9276,0.8261,0.8158,0.875
1,0.2021,0.8663,0.8222,0.8529,0.7273,0.1006,0.9558,0.8917,0.8947,0.88,0.1672,0.8947,0.7826,0.8158,0.625
2,0.1792,0.9086,0.7111,0.6286,1.0,0.1001,0.9554,0.8917,0.8947,0.88,0.1709,0.8974,0.7826,0.7692,0.8571
3,0.1803,0.8943,0.6,0.5143,0.9,0.1,0.9554,0.9,0.9053,0.88,0.1683,0.9211,0.8478,0.8684,0.75
4,0.172,0.8716,0.8,0.7568,1.0,0.1004,0.9541,0.9083,0.9158,0.88,0.2047,0.9118,0.8478,0.8824,0.75
5,0.1603,0.9797,0.8444,0.8108,1.0,0.1008,0.9533,0.9083,0.9158,0.88,0.168,0.9429,0.913,0.9459,0.7778
6,0.1889,0.8629,0.8222,0.8,0.9,0.0991,0.9533,0.8833,0.8842,0.88,0.1915,0.9142,0.8261,0.8529,0.75
7,0.1619,0.8383,0.7556,0.7368,0.8571,0.1017,0.9524,0.9083,0.9158,0.88,0.2106,0.9114,0.8261,0.9394,0.5385
8,0.1564,0.8462,0.7778,0.7949,0.6667,0.1031,0.9524,0.9,0.9158,0.84,0.1669,0.9459,0.8696,0.973,0.4444
9,0.2068,0.8535,0.8,0.8485,0.6667,0.0985,0.9524,0.8917,0.8947,0.88,0.1656,0.8718,0.8913,0.9231,0.7143
10,0.2099,0.642,0.6,0.6389,0.4444,0.0993,0.9512,0.8833,0.8842,0.88,0.1635,0.8458,0.8261,0.85,0.6667
11,0.1378,0.93,0.8667,0.85,1.0,0.1016,0.9503,0.9,0.9053,0.88,0.1961,0.8138,0.8043,0.8919,0.4444
12,0.1712,0.8851,0.7333,0.7027,0.875,0.1029,0.9495,0.9083,0.9158,0.88,0.2147,0.8873,0.8261,0.9706,0.4167
13,0.1768,0.8412,0.8444,0.8919,0.625,0.1027,0.9491,0.9083,0.9158,0.88,0.1652,0.8914,0.8696,0.9474,0.5
14,0.1987,0.9231,0.8,0.75,0.9231,0.1007,0.9495,0.8833,0.8842,0.88,0.1832,0.875,0.8478,0.9444,0.5
15,0.1962,0.8846,0.8,0.7812,0.8462,0.1011,0.9491,0.8833,0.8842,0.88,0.1762,0.8829,0.8043,0.8108,0.7778
16,0.1553,0.9402,0.6,0.5385,1.0,0.1008,0.9486,0.8833,0.8842,0.88,0.1464,0.9634,0.8261,0.7949,1.0
17,0.1807,0.9,0.8444,0.8,1.0,0.1008,0.9486,0.8833,0.8842,0.88,0.1829,0.9143,0.8043,0.8286,0.7273
18,0.142,0.885,0.7333,0.725,0.8,0.1006,0.9486,0.8833,0.8842,0.88,0.1981,0.8416,0.7391,0.7714,0.6364
19,0.1657,0.9352,0.8,0.7778,0.8889,0.1005,0.9482,0.8833,0.8842,0.88,0.1466,0.8938,0.8913,0.9231,0.7143
