task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
meniscus,sagittal,0,0,0.2863,0.7636,0.6833,0.7308,0.6471
meniscus,coronal,0,0,0.2553,0.8346,0.6083,0.9423,0.3529
meniscus,axial,0,0,0.2451,0.8416,0.7417,0.8462,0.6618
acl,sagittal,0,0,0.1648,0.9447,0.8583,0.8519,0.8636
acl,coronal,0,0,0.19,0.9242,0.6167,0.963,0.3333
acl,axial,0,0,0.1457,0.9582,0.8667,0.8704,0.8636
abnormal,sagittal,0,0,0.0992,0.9499,0.85,0.8316,0.92
abnormal,coronal,0,0,0.1435,0.8829,0.85,0.9263,0.56
abnormal,axial,0,0,0.1012,0.9528,0.8917,0.9368,0.72
