epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2203,0.4136,0.3881,0.3455,0.5833,0.1032,0.9545,0.9083,0.9158,0.88,0.2025,0.6771,0.6471,0.6786,0.5
1,0.2346,0.6459,0.6866,0.7,0.6471,0.1028,0.9524,0.8833,0.8842,0.88,0.2184,0.6151,0.5147,0.5,0.5714
2,0.2105,0.7205,0.5075,0.3846,0.9333,0.1033,0.952,0.9,0.9053,0.88,0.1927,0.7209,0.6912,0.7018,0.6364
3,0.2211,0.6569,0.5522,0.451,0.875,0.1039,0.9524,0.8917,0.8947,0.88,0.2048,0.7553,0.6618,0.6296,0.7857
4,0.2177,0.6526,0.4925,0.4423,0.6667,0.1043,0.9507,0.8917,0.8947,0.88,0.2159,0.6706,0.6471,0.6667,0.5714
5,0.2101,0.594,0.5224,0.4815,0.6923,0.1064,0.9482,0.8917,0.8947,0.88,0.188,0.6828,0.6765,0.7241,0.4
6,0.22,0.659,0.597,0.5192,0.8667,0.1059,0.9482,0.8917,0.8947,0.88,0.2109,0.6971,0.6618,0.6667,0.6429
7,0.2122,0.5182,0.4925,0.4909,0.5,0.108,0.9465,0.875,0.8947,0.8,0.2114,0.7063,0.6618,0.7037,0.5
8,0.2134,0.6068,0.5821,0.5556,0.6923,0.1089,0.9465,0.875,0.8947,0.8,0.2005,0.7343,0.75,0.8364,0.3846
9,0.2142,0.6641,0.5821,0.5769,0.6,0.1083,0.9461,0.875,0.8947,0.8,0.2013,0.6204,0.6618,0.7018,0.4545
10,0.2357,0.4987,0.4627,0.4808,0.4,0.1088,0.9453,0.875,0.8947,0.8,0.1923,0.6345,0.6324,0.6897,0.3
11,0.1679,0.7712,0.597,0.5763,0.75,0.1102,0.9453,0.875,0.8947,0.8,0.2303,0.6201,0.6765,0.7736,0.3333
12,0.2009,0.6303,0.5373,0.4909,0.75,0.1115,0.9448,0.8917,0.9158,0.8,0.2222,0.6956,0.75,0.8491,0.4
13,0.1838,0.613,0.597,0.6034,0.5556,0.1132,0.944,0.8833,0.9158,0.76,0.2062,0.7091,0.75,0.8545,0.3077
14,0.2072,0.6739,0.5821,0.566,0.6429,0.1133,0.9436,0.8833,0.9158,0.76,0.2011,0.7259,0.75,0.8364,0.3846
15,0.2045,0.7224,0.7015,0.717,0.6429,0.1133,0.9432,0.8833,0.9158,0.76,0.224,0.6692,0.7353,0.8491,0.3333
16,0.1983,0.5731,0.5821,0.625,0.3636,0.1136,0.9432,0.8833,0.9158,0.76,0.1753,0.8121,0.7794,0.8276,0.5
17,0.2219,0.6718,0.6567,0.7885,0.2,0.1132,0.9432,0.8833,0.9158,0.76,0.1912,0.6922,0.7647,0.8421,0.3636
18,0.19,0.6753,0.6418,0.6429,0.6364,0.1135,0.9432,0.8833,0.9158,0.76,0.2303,0.6277,0.7059,0.8113,0.3333
19,0.2031,0.698,0.7015,0.7037,0.6923,0.1134,0.9427,0.8833,0.9158,0.76,0.2042,0.7203,0.7941,0.8909,0.3846
