epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.3497,0.3838,0.3731,0.6364,0.2444,0.2662,0.8275,0.75,0.8846,0.6471,0.3738,0.3447,0.3824,0.6,0.2105
1,0.3107,0.6255,0.5373,0.6957,0.4545,0.2645,0.8283,0.7417,0.8462,0.6618,0.3563,0.4987,0.5147,0.697,0.3429
2,0.3033,0.4256,0.4925,0.4,0.5192,0.2625,0.8238,0.75,0.7308,0.7647,0.3725,0.3922,0.3971,0.2121,0.5714
3,0.3215,0.4524,0.6119,0.2381,0.7826,0.2635,0.821,0.75,0.7308,0.7647,0.3606,0.443,0.4853,0.2,0.7105
4,0.3273,0.4298,0.5373,0.2609,0.6818,0.2624,0.8232,0.7667,0.7885,0.75,0.3785,0.3321,0.3824,0.2857,0.45
5,0.3407,0.462,0.4776,0.4444,0.5,0.2623,0.8266,0.7583,0.8077,0.7206,0.3645,0.4106,0.4265,0.4375,0.4167
6,0.2997,0.5522,0.5672,0.5,0.5918,0.2634,0.8227,0.7417,0.7115,0.7647,0.3729,0.3632,0.4265,0.1667,0.6316
7,0.3621,0.3955,0.4179,0.3667,0.4595,0.2626,0.8252,0.7667,0.8077,0.7353,0.3633,0.4184,0.4412,0.4,0.4737
8,0.3272,0.5363,0.4776,0.5517,0.4211,0.2658,0.8249,0.7333,0.8462,0.6471,0.3546,0.4526,0.5441,0.8333,0.3158
9,0.3325,0.4831,0.4478,0.6154,0.3415,0.2648,0.8258,0.7417,0.8462,0.6618,0.3626,0.4323,0.5147,0.6875,0.3611
10,0.3162,0.5844,0.5522,0.6538,0.4878,0.2643,0.8261,0.75,0.8462,0.6765,0.3727,0.3979,0.5147,0.7586,0.3333
11,0.3444,0.4626,0.4627,0.7353,0.1818,0.2737,0.8261,0.7167,0.9231,0.5588,0.3654,0.4761,0.4118,0.8519,0.122
12,0.3014,0.6848,0.4627,0.8696,0.25,0.2709,0.8269,0.7333,0.9231,0.5882,0.3694,0.4155,0.4412,0.8519,0.1707
13,0.3395,0.4362,0.3731,0.6,0.2381,0.2695,0.8255,0.725,0.8846,0.6029,0.3686,0.421,0.4559,0.75,0.1944
14,0.3069,0.663,0.5522,0.8214,0.359,0.2699,0.8252,0.725,0.9038,0.5882,0.3555,0.4705,0.4706,0.8214,0.225
15,0.2995,0.7101,0.4776,0.8571,0.3043,0.2667,0.8264,0.7417,0.8654,0.6471,0.3542,0.4634,0.4706,0.8148,0.2439
16,0.3113,0.5788,0.5373,0.7273,0.4444,0.2648,0.8252,0.75,0.8462,0.6765,0.3696,0.3411,0.4412,0.75,0.1667
17,0.3088,0.6192,0.4776,0.6667,0.3721,0.2647,0.8249,0.75,0.8462,0.6765,0.3806,0.3492,0.3971,0.6552,0.2051
18,0.3375,0.4419,0.4328,0.75,0.2558,0.2645,0.8249,0.75,0.8462,0.6765,0.3712,0.4208,0.5,0.7576,0.2571
19,0.3318,0.4887,0.4478,0.6538,0.3171,0.2644,0.8247,0.75,0.8462,0.6765,0.3621,0.4062,0.4412,0.6429,0.3
