Threshold,Accuracy,Sensitivity,Specificity,,Threshold,Accuracy,Sensitivity,Specificity
0.86,0.7583,0.5,0.9697,,0.86,0.6917,0.3333,0.9848
0.87,0.7333,0.4444,0.9697,,0.87,0.7,0.3333,1
0.88,0.7083,0.3704,0.9848,,0.88,0.6917,0.3148,1
0.89,0.7083,0.3704,0.9848,,0.89,0.6667,0.2593,1
0.9,0.6917,0.3333,0.9848,,0.9,0.6583,0.2407,1
0.91,0.7,0.3333,1,,0.91,0.6583,0.2407,1
0.92,0.675,0.2778,1,,0.92,0.6417,0.2037,1
0.93,0.6583,0.2407,1,,0.93,0.6083,0.1296,1
0.94,0.6583,0.2407,1,,0.94,0.6083,0.1296,1
0.95,0.625,0.1667,1,,0.95,0.5917,0.0926,1
0.96,0.6,0.1111,1,,0.96,0.5833,0.0741,1
0.97,0.5833,0.0741,1,,0.97,0.575,0.0556,1
0.98,0.575,0.0556,1,,0.98,0.5583,0.0185,1
0.99,0.55,0,1,,0.99,0.55,0,1
1,0.55,0,1,,1,0.55,0,1
