Threshold,Accuracy,Sensitivity,Specificity,,Threshold,Accuracy,Sensitivity,Specificity
0.9,0.6917,0.6105,1,,0.9,0.6417,0.5474,1
0.91,0.6833,0.6,1,,0.91,0.625,0.5263,1
0.92,0.6583,0.5684,1,,0.92,0.6083,0.5053,1
0.93,0.6333,0.5368,1,,0.93,0.5833,0.4737,1
0.94,0.5833,0.4737,1,,0.94,0.5583,0.4421,1
0.95,0.55,0.4316,1,,0.95,0.5417,0.4211,1
0.96,0.5417,0.4211,1,,0.96,0.5167,0.3895,1
0.97,0.5083,0.3789,1,,0.97,0.4667,0.3263,1
0.98,0.45,0.3053,1,,0.98,0.4417,0.2947,1
0.99,0.325,0.1474,1,,0.99,0.3583,0.1895,1
1,0.2083,0,1,,1,0.2083,0,1
