Threshold,Accuracy,Sensitivity,Specificity,,Threshold,Accuracy,Sensitivity,Specificity
0.7,0.8,0.5926,0.9697,,0.7,0.8,0.5926,0.9697
0.71,0.8,0.5926,0.9697,,0.71,0.8,0.5926,0.9697
0.72,0.7917,0.5741,0.9697,,0.72,0.7917,0.5741,0.9697
0.73,0.7833,0.5556,0.9697,,0.73,0.7917,0.5741,0.9697
0.74,0.7667,0.5185,0.9697,,0.74,0.7833,0.5556,0.9697
0.75,0.7667,0.5,0.9848,,0.75,0.7667,0.5,0.9848
0.76,0.7667,0.5,0.9848,,0.76,0.7667,0.5,0.9848
0.77,0.7583,0.4815,0.9848,,0.77,0.7667,0.4815,1
0.78,0.7667,0.4815,1,,0.78,0.7583,0.463,1
0.79,0.7417,0.4259,1,,0.79,0.7583,0.463,1
0.8,0.7417,0.4259,1,,0.8,0.7333,0.4074,1
0.81,0.725,0.3889,1,,0.81,0.725,0.3889,1
0.82,0.6917,0.3148,1,,0.82,0.6917,0.3148,1
0.83,0.675,0.2778,1,,0.83,0.675,0.2778,1
0.84,0.6667,0.2593,1,,0.84,0.6667,0.2593,1
0.85,0.6667,0.2593,1,,0.85,0.6667,0.2593,1
0.86,0.6667,0.2593,1,,0.86,0.6583,0.2407,1
0.87,0.6417,0.2037,1,,0.87,0.65,0.2222,1
0.88,0.6333,0.1852,1,,0.88,0.6333,0.1852,1
0.89,0.6167,0.1481,1,,0.89,0.6167,0.1481,1
0.9,0.6083,0.1296,1,,0.9,0.6083,0.1296,1
0.91,0.6,0.1111,1,,0.91,0.6,0.1111,1
0.92,0.6,0.1111,1,,0.92,0.6,0.1111,1
0.93,0.5833,0.0741,1,,0.93,0.5833,0.0741,1
0.94,0.5667,0.037,1,,0.94,0.5667,0.037,1
0.95,0.5583,0.0185,1,,0.95,0.5583,0.0185,1
0.96,0.55,0,1,,0.96,0.55,0,1
0.97,0.55,0,1,,0.97,0.55,0,1
0.98,0.55,0,1,,0.98,0.55,0,1
0.99,0.55,0,1,,0.99,0.55,0,1
1,0.55,0,1,,1,0.55,0,1
