epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2112,0.6212,0.7761,0.9455,0.0,0.1108,0.9478,0.9083,0.9368,0.8,0.1886,0.7634,0.8382,0.9286,0.4167
1,0.2464,0.6788,0.7164,0.92,0.1176,0.1003,0.9482,0.9167,0.9263,0.88,0.2011,0.7526,0.7647,0.7778,0.7143
2,0.2246,0.5949,0.5373,0.5192,0.6,0.099,0.9486,0.9167,0.9263,0.88,0.1845,0.7656,0.7206,0.7193,0.7273
3,0.2235,0.6054,0.4627,0.3725,0.75,0.0979,0.9482,0.9083,0.9158,0.88,0.2043,0.7421,0.5735,0.5185,0.7857
4,0.2078,0.7308,0.5672,0.4808,0.8667,0.0976,0.9495,0.9083,0.9158,0.88,0.1987,0.7897,0.6176,0.5556,0.8571
5,0.2063,0.6396,0.6119,0.6481,0.4615,0.097,0.9507,0.9083,0.9158,0.88,0.1895,0.6914,0.5882,0.569,0.7
6,0.2094,0.6949,0.597,0.5385,0.8,0.097,0.9507,0.9,0.9053,0.88,0.2068,0.7156,0.5882,0.537,0.7857
7,0.1985,0.6833,0.6567,0.6727,0.5833,0.0971,0.9503,0.9083,0.9158,0.88,0.2019,0.7407,0.6618,0.6481,0.7143
8,0.2028,0.661,0.5821,0.5741,0.6154,0.0985,0.9507,0.9083,0.9263,0.84,0.1894,0.821,0.7647,0.7636,0.7692
9,0.1933,0.8269,0.6866,0.6731,0.7333,0.0961,0.9512,0.9167,0.9263,0.88,0.1762,0.8293,0.6912,0.6667,0.8182
10,0.2232,0.5897,0.6418,0.6538,0.6,0.0958,0.9516,0.9083,0.9158,0.88,0.1892,0.6914,0.6029,0.5862,0.7
11,0.1702,0.6631,0.6866,0.7119,0.5,0.0978,0.9533,0.9083,0.9263,0.84,0.2063,0.7761,0.7206,0.7925,0.4667
12,0.191,0.7258,0.7164,0.7455,0.5833,0.0986,0.9545,0.9083,0.9263,0.84,0.1933,0.8553,0.7647,0.8302,0.5333
13,0.1818,0.5958,0.6716,0.7069,0.4444,0.1031,0.9541,0.9,0.9263,0.8,0.2007,0.7119,0.7647,0.8545,0.3846
14,0.2045,0.7183,0.7313,0.7736,0.5714,0.097,0.9545,0.9083,0.9263,0.84,0.1883,0.7902,0.75,0.7636,0.6923
15,0.2041,0.7197,0.7761,0.8302,0.5714,0.095,0.9541,0.9083,0.9263,0.84,0.1985,0.7912,0.6618,0.6415,0.7333
16,0.1936,0.6412,0.7164,0.7679,0.4545,0.096,0.9541,0.9083,0.9263,0.84,0.1672,0.8034,0.8235,0.8448,0.7
17,0.2111,0.6756,0.6119,0.6731,0.4,0.094,0.9528,0.9083,0.9158,0.88,0.1872,0.7528,0.6765,0.6842,0.6364
18,0.1769,0.7532,0.791,0.8214,0.6364,0.096,0.9537,0.9083,0.9263,0.84,0.2049,0.7824,0.7353,0.7736,0.6
19,0.1847,0.7977,0.7313,0.7222,0.7692,0.0951,0.9533,0.9083,0.9263,0.84,0.1886,0.8042,0.7206,0.7273,0.6923
20,0.2087,0.6624,0.7612,0.8519,0.3846,0.0937,0.9528,0.9083,0.9158,0.88,0.1766,0.8895,0.7059,0.6727,0.8462
21,0.2017,0.5731,0.6119,0.625,0.5455,0.0946,0.9541,0.9083,0.9263,0.84,0.197,0.8088,0.75,0.7547,0.7333
22,0.212,0.5912,0.6269,0.6852,0.3846,0.0949,0.9533,0.9083,0.9263,0.84,0.1829,0.9006,0.7794,0.7736,0.8
23,0.16,0.3613,0.7313,0.7903,0.0,0.1022,0.9528,0.9,0.9263,0.8,0.2008,0.8498,0.8235,0.9038,0.5625
24,0.1847,0.7338,0.7612,0.8571,0.2727,0.1015,0.9528,0.9,0.9263,0.8,0.1916,0.8399,0.8382,0.9444,0.4286
25,0.1824,0.7565,0.7761,0.8571,0.3636,0.098,0.9533,0.9,0.9263,0.8,0.22,0.7636,0.7353,0.8235,0.4706
26,0.1979,0.7305,0.6567,0.6981,0.5,0.0948,0.9537,0.9,0.9158,0.84,0.1974,0.8151,0.7647,0.7925,0.6667
27,0.2096,0.6054,0.6716,0.7222,0.4615,0.0948,0.9537,0.9,0.9158,0.84,0.1783,0.8259,0.7353,0.7679,0.5833
28,0.2025,0.7526,0.7463,0.7692,0.6667,0.0944,0.9537,0.8917,0.9053,0.84,0.2112,0.7584,0.6912,0.7308,0.5625
29,0.2093,0.7292,0.6866,0.7059,0.625,0.0935,0.9537,0.9083,0.9053,0.92,0.1887,0.8182,0.7059,0.6909,0.7692
30,0.1844,0.7256,0.6716,0.6786,0.6364,0.0941,0.9537,0.8917,0.9053,0.84,0.191,0.8228,0.75,0.7593,0.7143
31,0.1886,0.841,0.7164,0.6923,0.8,0.0937,0.9537,0.8917,0.9053,0.84,0.1948,0.7659,0.6471,0.6481,0.6429
32,0.2113,0.7279,0.6866,0.7059,0.625,0.0933,0.9537,0.9,0.9053,0.88,0.1954,0.7427,0.6471,0.6545,0.6154
33,0.1917,0.814,0.6567,0.6226,0.7857,0.0931,0.9537,0.9083,0.9053,0.92,0.1892,0.7874,0.6912,0.6727,0.7692
34,0.1974,0.5947,0.6119,0.5965,0.7,0.0936,0.9537,0.8917,0.9053,0.84,0.1995,0.7899,0.7059,0.7358,0.6
35,0.1656,0.7356,0.7463,0.7586,0.6667,0.0949,0.9537,0.9,0.9158,0.84,0.2008,0.7778,0.7353,0.7963,0.5
36,0.1993,0.5175,0.6567,0.7193,0.3,0.0954,0.9537,0.9,0.9158,0.84,0.2025,0.795,0.7353,0.8113,0.4667
37,0.1752,0.7549,0.7313,0.7679,0.5455,0.0958,0.9537,0.9083,0.9263,0.84,0.1942,0.7923,0.6912,0.7407,0.5
38,0.1935,0.6803,0.6866,0.7455,0.4167,0.0955,0.9537,0.9083,0.9263,0.84,0.1685,0.7778,0.7794,0.8305,0.4444
39,0.162,0.8404,0.7463,0.7544,0.7,0.0968,0.9537,0.9083,0.9263,0.84,0.1809,0.8308,0.7941,0.8727,0.4615
