epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2025,0.6045,0.8209,0.25,0.9455,0.1759,0.9436,0.875,0.8148,0.9242,0.3285,0.7344,0.6176,0.2812,0.9167
1,0.2109,0.6011,0.7463,0.3846,0.8333,0.1726,0.9433,0.875,0.8148,0.9242,0.3341,0.6211,0.5441,0.1667,0.8421
2,0.197,0.5357,0.7164,0.1818,0.8214,0.1709,0.943,0.875,0.8148,0.9242,0.3395,0.6286,0.5588,0.3636,0.7429
3,0.2062,0.5561,0.7164,0.0833,0.8545,0.171,0.943,0.875,0.8148,0.9242,0.3227,0.6844,0.6324,0.4138,0.7949
4,0.2034,0.7642,0.6866,0.5714,0.717,0.1685,0.943,0.8583,0.8148,0.8939,0.3182,0.7286,0.6471,0.5517,0.7179
5,0.2008,0.6994,0.6269,0.4615,0.6667,0.1674,0.943,0.85,0.8148,0.8788,0.3203,0.7257,0.6176,0.5938,0.6389
6,0.1944,0.7106,0.6567,0.6667,0.6545,0.1679,0.9425,0.8583,0.8148,0.8939,0.3098,0.7798,0.7059,0.6,0.7895
7,0.2153,0.609,0.4925,0.6,0.4615,0.1667,0.9442,0.8417,0.8148,0.8636,0.308,0.7859,0.6912,0.7037,0.6829
8,0.2133,0.7745,0.6418,0.875,0.5686,0.1675,0.9428,0.8417,0.8519,0.8333,0.3055,0.8208,0.7206,0.7429,0.697
9,0.2186,0.6359,0.5075,0.7333,0.4423,0.1684,0.9428,0.8417,0.8704,0.8182,0.3124,0.7821,0.6618,0.8571,0.525
10,0.1972,0.3697,0.403,0.3333,0.4138,0.1681,0.9425,0.8417,0.8148,0.8636,0.3151,0.7506,0.6324,0.6061,0.6571
11,0.2246,0.746,0.6119,0.8889,0.5102,0.1679,0.9425,0.85,0.8333,0.8636,0.3185,0.6929,0.6176,0.6667,0.5854
12,0.2114,0.6146,0.5224,0.6429,0.4906,0.1687,0.9422,0.85,0.8704,0.8333,0.3142,0.7642,0.6912,0.7778,0.6341
13,0.2016,0.8167,0.5373,0.9333,0.4231,0.1689,0.9422,0.8417,0.8704,0.8182,0.3118,0.7526,0.6765,0.8333,0.5526
14,0.1902,0.7818,0.5075,1.0,0.4,0.1684,0.9422,0.8417,0.8519,0.8333,0.3039,0.8204,0.7647,0.8065,0.7297
15,0.2055,0.7436,0.5075,0.8667,0.4038,0.1685,0.9416,0.8333,0.8519,0.8182,0.305,0.8333,0.7206,0.8438,0.6111
16,0.2073,0.6974,0.4925,0.8,0.4038,0.169,0.9419,0.8417,0.8704,0.8182,0.3088,0.7698,0.7206,0.871,0.5946
17,0.1927,0.8181,0.5224,0.9286,0.4151,0.169,0.9419,0.8333,0.8519,0.8182,0.3242,0.6851,0.6471,0.7941,0.5
18,0.221,0.5641,0.4478,0.6667,0.3846,0.169,0.9416,0.8333,0.8519,0.8182,0.3146,0.7569,0.6765,0.8438,0.5278
19,0.2177,0.7059,0.5522,0.8235,0.46,0.1695,0.9411,0.8333,0.8519,0.8182,0.3202,0.7333,0.6324,0.8182,0.4571
