epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2814,0.7493,0.6991,0.7222,0.6883,0.2497,0.832,0.7583,0.8077,0.7206,0.3086,0.7551,0.6842,0.7347,0.6462
1,0.2658,0.8663,0.7522,0.8158,0.72,0.2501,0.8309,0.7583,0.7885,0.7353,0.3078,0.7592,0.7105,0.6939,0.7231
2,0.2586,0.8329,0.7965,0.4688,0.9259,0.2545,0.8269,0.7333,0.6731,0.7794,0.3037,0.7734,0.7193,0.6042,0.803
3,0.2583,0.8436,0.8053,0.5882,0.8987,0.2531,0.8269,0.7417,0.7308,0.75,0.3038,0.7809,0.7281,0.64,0.7969
4,0.2906,0.7691,0.7434,0.6136,0.8261,0.2511,0.8303,0.7667,0.8269,0.7206,0.3093,0.7622,0.6228,0.8431,0.4444
5,0.2836,0.7476,0.6549,0.725,0.6164,0.25,0.8298,0.75,0.7692,0.7353,0.3015,0.7857,0.7105,0.8125,0.6364
6,0.28,0.7803,0.6726,0.641,0.6892,0.2506,0.8289,0.7417,0.7308,0.75,0.3,0.7996,0.7281,0.7843,0.6825
7,0.2774,0.8571,0.7611,0.86,0.6825,0.2499,0.8278,0.7583,0.7885,0.7353,0.3044,0.7778,0.6842,0.8333,0.5758
8,0.2884,0.8083,0.708,0.8039,0.629,0.2506,0.8278,0.7583,0.8462,0.6912,0.3059,0.78,0.614,0.88,0.4062
9,0.2758,0.8622,0.6903,0.9167,0.5231,0.2511,0.8269,0.7583,0.8462,0.6912,0.307,0.7717,0.614,0.9038,0.371
10,0.2714,0.8293,0.6903,0.8095,0.6197,0.2511,0.8252,0.7583,0.8462,0.6912,0.3044,0.7894,0.6053,0.9,0.375
11,0.2781,0.8199,0.646,0.8913,0.4776,0.2512,0.8255,0.7583,0.8462,0.6912,0.3085,0.7791,0.5789,0.92,0.3125
12,0.2857,0.8003,0.6991,0.8125,0.6154,0.2512,0.8255,0.7583,0.8462,0.6912,0.3109,0.774,0.5789,0.9375,0.3182
13,0.2834,0.7952,0.6283,0.875,0.4462,0.2512,0.8252,0.7583,0.8462,0.6912,0.3055,0.7944,0.6053,0.94,0.3438
14,0.2677,0.8319,0.6814,0.8684,0.5867,0.251,0.8249,0.7583,0.8462,0.6912,0.3068,0.7803,0.6053,0.94,0.3438
15,0.2615,0.877,0.6991,0.8919,0.6053,0.2507,0.8252,0.7583,0.8462,0.6912,0.3078,0.7765,0.5965,0.8958,0.3788
16,0.2675,0.8615,0.6903,0.8837,0.5714,0.2505,0.8252,0.75,0.8269,0.6912,0.3064,0.7756,0.6491,0.9,0.4531
17,0.2842,0.789,0.6372,0.8837,0.4857,0.2504,0.8255,0.75,0.8269,0.6912,0.3054,0.7775,0.6491,0.902,0.4444
18,0.2804,0.8058,0.6637,0.8571,0.5493,0.2504,0.8252,0.75,0.8269,0.6912,0.3085,0.7709,0.6228,0.88,0.4219
19,0.2725,0.8469,0.7168,0.9268,0.5972,0.2504,0.8252,0.75,0.8269,0.6912,0.3041,0.786,0.6404,0.875,0.4697
