epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2076,0.7045,0.5893,0.5227,0.8333,0.1014,0.9558,0.9083,0.9158,0.88,0.1724,0.9021,0.8246,0.8298,0.8
1,0.2051,0.8741,0.7857,0.8333,0.6429,0.1009,0.9554,0.8833,0.8842,0.88,0.1822,0.8281,0.7193,0.7174,0.7273
2,0.1749,0.903,0.6964,0.6222,1.0,0.1007,0.9554,0.8917,0.8947,0.88,0.1659,0.9051,0.8246,0.8125,0.8889
3,0.1958,0.8588,0.6071,0.5,0.9286,0.1008,0.9533,0.8917,0.8947,0.88,0.1646,0.9277,0.8421,0.8511,0.8
4,0.1821,0.8845,0.7679,0.7045,1.0,0.1002,0.9528,0.8917,0.8947,0.88,0.1927,0.9108,0.8421,0.8636,0.7692
5,0.1613,0.9243,0.75,0.7021,1.0,0.1011,0.9507,0.9083,0.9158,0.88,0.1566,0.9444,0.9123,0.9375,0.7778
6,0.1945,0.8354,0.75,0.7209,0.8462,0.1,0.9512,0.8833,0.8842,0.88,0.1848,0.8951,0.7895,0.8182,0.6923
7,0.1771,0.8043,0.7143,0.6957,0.8,0.1016,0.9503,0.9083,0.9158,0.88,0.1902,0.9038,0.8421,0.9318,0.5385
8,0.1663,0.7995,0.75,0.75,0.75,0.1025,0.9503,0.9083,0.9158,0.88,0.1696,0.9328,0.8772,0.9783,0.4545
9,0.1881,0.8605,0.7679,0.7907,0.6923,0.1,0.9512,0.8917,0.8947,0.88,0.1648,0.9074,0.8596,0.875,0.7778
10,0.2103,0.6222,0.5893,0.6667,0.2727,0.1015,0.9486,0.8917,0.8947,0.88,0.1663,0.8444,0.807,0.8571,0.5
11,0.1453,0.9067,0.8571,0.8571,0.8571,0.1049,0.9474,0.9,0.9053,0.88,0.1907,0.836,0.8421,0.9348,0.4545
12,0.1673,0.8274,0.7321,0.7447,0.6667,0.1054,0.9474,0.8917,0.9053,0.84,0.2012,0.8706,0.8596,0.9773,0.4615
13,0.1619,0.8438,0.8393,0.8958,0.5,0.1058,0.9461,0.8917,0.9053,0.84,0.1708,0.8894,0.8772,0.9787,0.4
14,0.1929,0.9133,0.8393,0.8571,0.7857,0.1047,0.9465,0.8917,0.8947,0.88,0.1791,0.8458,0.8596,0.9565,0.4545
15,0.1819,0.9016,0.8571,0.8837,0.7692,0.1036,0.9474,0.8917,0.8947,0.88,0.1835,0.8656,0.8596,0.9783,0.3636
16,0.1776,0.8413,0.7679,0.7826,0.7,0.1037,0.9474,0.8917,0.8947,0.88,0.1513,0.9352,0.9123,1.0,0.4444
17,0.1896,0.907,0.8393,0.8837,0.6923,0.1029,0.9478,0.8917,0.8947,0.88,0.1742,0.8893,0.8947,0.9565,0.6364
18,0.1543,0.8646,0.7857,0.8125,0.625,0.1031,0.9474,0.8917,0.8947,0.88,0.2069,0.8439,0.8246,0.9535,0.4286
19,0.1713,0.9375,0.875,0.8636,0.9167,0.103,0.9478,0.8917,0.8947,0.88,0.1887,0.8829,0.8947,0.9773,0.6154
