epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1965,0.858,0.8214,0.9545,0.3333,0.1458,0.8808,0.8167,0.8316,0.76,0.1684,0.8532,0.8772,0.9362,0.6
1,0.1912,0.8912,0.8214,0.8333,0.7857,0.1444,0.8825,0.8,0.8,0.8,0.1833,0.8123,0.807,0.8696,0.5455
2,0.1703,0.8626,0.7679,0.7778,0.7273,0.1446,0.8825,0.7833,0.7684,0.84,0.161,0.8634,0.8772,0.9375,0.5556
3,0.1918,0.8656,0.7321,0.6667,0.9286,0.1448,0.8817,0.7833,0.7684,0.84,0.16,0.9106,0.8421,0.8298,0.9
4,0.1852,0.8314,0.6786,0.6364,0.8333,0.1453,0.8796,0.7833,0.7684,0.84,0.2108,0.757,0.8421,0.9091,0.6154
5,0.1375,0.9622,0.8929,0.8723,1.0,0.1453,0.8804,0.7833,0.7684,0.84,0.1623,0.8611,0.8246,0.8958,0.4444
6,0.1706,0.8927,0.7679,0.7442,0.8462,0.146,0.88,0.775,0.7579,0.84,0.1675,0.9126,0.8947,0.8864,0.9231
7,0.1767,0.787,0.8214,0.8696,0.6,0.1456,0.8783,0.7833,0.7684,0.84,0.1831,0.8584,0.7895,0.7955,0.7692
8,0.148,0.8411,0.6964,0.6667,0.875,0.1457,0.8779,0.7833,0.7684,0.84,0.1689,0.8696,0.8596,0.913,0.6364
9,0.1816,0.8712,0.8393,0.8605,0.7692,0.1462,0.8775,0.775,0.7579,0.84,0.1856,0.7292,0.7895,0.8333,0.5556
10,0.1753,0.8485,0.7857,0.7556,0.9091,0.1463,0.8779,0.775,0.7579,0.84,0.1783,0.6964,0.7719,0.8163,0.5
11,0.1435,0.8513,0.8214,0.8163,0.8571,0.1459,0.8779,0.7833,0.7684,0.84,0.1914,0.8004,0.8246,0.8913,0.5455
12,0.1916,0.591,0.6071,0.6596,0.3333,0.1459,0.8775,0.775,0.7579,0.84,0.1708,0.9196,0.8772,0.9318,0.6923
13,0.156,0.8177,0.7143,0.7083,0.75,0.1457,0.8775,0.7917,0.7789,0.84,0.187,0.7702,0.8246,0.8936,0.5
14,0.1668,0.9558,0.8393,0.8095,0.9286,0.1458,0.8775,0.775,0.7579,0.84,0.1488,0.9466,0.8421,0.8696,0.7273
15,0.1701,0.9106,0.8393,0.8372,0.8462,0.146,0.8775,0.775,0.7579,0.84,0.1532,0.9506,0.8772,0.913,0.7273
16,0.1937,0.637,0.6071,0.587,0.7,0.1459,0.8775,0.775,0.7579,0.84,0.1624,0.8171,0.8246,0.875,0.5556
17,0.1668,0.932,0.8214,0.8372,0.7692,0.146,0.8775,0.775,0.7579,0.84,0.1939,0.7569,0.8246,0.8913,0.5455
18,0.1488,0.8073,0.8036,0.8333,0.625,0.146,0.8775,0.775,0.7579,0.84,0.2194,0.7807,0.807,0.8837,0.5714
19,0.1765,0.8485,0.7857,0.7955,0.75,0.1461,0.8775,0.775,0.7579,0.84,0.1639,0.9476,0.8772,0.9091,0.7692
