epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1988,0.647,0.5821,0.5273,0.8333,0.1023,0.9554,0.9083,0.9158,0.88,0.181,0.8631,0.8088,0.8393,0.6667
1,0.2124,0.8329,0.7761,0.82,0.6471,0.1014,0.9554,0.8833,0.8842,0.88,0.1956,0.791,0.6765,0.6667,0.7143
2,0.1856,0.891,0.7164,0.6346,1.0,0.101,0.9537,0.8917,0.8947,0.88,0.1702,0.8756,0.7941,0.7895,0.8182
3,0.1976,0.8162,0.6119,0.4902,1.0,0.1008,0.9524,0.8833,0.8842,0.88,0.1814,0.9034,0.7647,0.7593,0.7857
4,0.1944,0.8192,0.7015,0.6346,0.9333,0.1006,0.9524,0.8917,0.8947,0.88,0.1918,0.8519,0.8088,0.8333,0.7143
5,0.1864,0.802,0.6866,0.6481,0.8462,0.1015,0.9503,0.8917,0.8947,0.88,0.1657,0.8638,0.8382,0.8621,0.7
6,0.1988,0.7833,0.7164,0.6538,0.9333,0.1009,0.9507,0.8833,0.8842,0.88,0.1869,0.8532,0.7647,0.7963,0.6429
7,0.1908,0.6939,0.6119,0.6182,0.5833,0.1017,0.9495,0.8917,0.8947,0.88,0.1871,0.8532,0.8088,0.8519,0.6429
8,0.1942,0.7393,0.6716,0.6852,0.6154,0.1031,0.9491,0.8917,0.8947,0.88,0.1763,0.8867,0.8382,0.9273,0.4615
9,0.1923,0.8141,0.7015,0.6731,0.8,0.1017,0.9495,0.8833,0.8842,0.88,0.1791,0.8309,0.7647,0.7719,0.7273
10,0.2133,0.659,0.597,0.6154,0.5333,0.1035,0.9465,0.8833,0.8842,0.88,0.1726,0.8207,0.7647,0.7586,0.8
11,0.149,0.9004,0.7164,0.678,1.0,0.1037,0.9453,0.8917,0.8947,0.88,0.2064,0.7987,0.7206,0.7925,0.4667
12,0.18,0.8242,0.7015,0.6545,0.9167,0.1041,0.9453,0.8917,0.8947,0.88,0.1978,0.8314,0.8235,0.9057,0.5333
13,0.1657,0.8046,0.6866,0.6897,0.6667,0.1051,0.9444,0.8917,0.8947,0.88,0.1826,0.8503,0.8235,0.9091,0.4615
14,0.1836,0.8598,0.6866,0.6226,0.9286,0.1052,0.9436,0.8917,0.8947,0.88,0.1778,0.8503,0.8529,0.9091,0.6154
15,0.183,0.8396,0.791,0.8113,0.7143,0.1052,0.9432,0.8917,0.8947,0.88,0.1984,0.8314,0.8382,0.9245,0.5333
16,0.1787,0.7597,0.7313,0.75,0.6364,0.1054,0.9436,0.8917,0.8947,0.88,0.1526,0.9086,0.9118,0.9655,0.6
17,0.1996,0.809,0.7761,0.8077,0.6667,0.1052,0.9432,0.8917,0.8947,0.88,0.1679,0.8485,0.8382,0.9123,0.4545
18,0.1679,0.8425,0.7313,0.7321,0.7273,0.1053,0.9436,0.8917,0.8947,0.88,0.2061,0.7811,0.7941,0.9245,0.3333
19,0.1775,0.8561,0.806,0.7963,0.8462,0.1052,0.9432,0.8917,0.8947,0.88,0.1807,0.842,0.8824,0.9636,0.5385
