Wall time,Step,Value
1656833665.402661,43,4.5025739669799805
1656833668.4616396,95,4.384533405303955
1656833672.757088,168,4.232337474822998
1656833676.4079504,230,4.191084861755371
1656833676.7012677,235,4.138794898986816
1656833678.9933639,274,4.111991882324219
1656833681.0520096,309,4.22181510925293
1656833681.16953,311,4.263680934906006
1656833681.6413264,319,4.055461883544922
1656833694.5141113,475,4.10599946975708
1656833698.2297935,537,4.075810432434082
1656833700.7671301,580,3.843876838684082
1656833701.1977649,587,4.026937007904053
1656833704.0985205,635,4.04299783706665
1656833704.8864012,648,3.878140687942505
1656833708.9500368,715,3.7784910202026367
1656833709.42404,723,3.911794424057007
1656833718.388652,809,3.7481017112731934
1656833720.145835,837,3.5233256816864014
1656833730.9036627,1015,3.672337532043457
1656833734.0410411,1067,3.6616663932800293
1656833736.3274343,1105,3.766439914703369
1656833744.6104336,1181,3.6152405738830566
1656833749.490161,1262,3.553201675415039
1656833752.8563704,1317,3.6767842769622803
1656833753.0365167,1320,3.461121082305908
1656833753.8747568,1334,3.630303382873535
1656833754.1196718,1338,3.5676894187927246
1656833757.0396948,1386,3.7358293533325195
1656833757.4601877,1393,3.6233291625976562
1656833760.163199,1437,3.5324742794036865
1656833767.3759549,1553,3.7224323749542236
1656833779.406191,1692,3.4305355548858643
1656833781.9834356,1735,3.343726396560669
1656833782.1633315,1738,3.222217082977295
1656833788.6185145,1845,3.502253532409668
1656833790.625376,1878,3.17350435256958
1656833793.0093653,1918,3.3850440979003906
1656833803.7596288,2037,3.137770175933838
1656833807.330509,2097,2.950047492980957
1656833813.4572983,2200,3.1636016368865967
1656833817.2064588,2263,2.9636595249176025
1656833819.8858523,2308,3.1158602237701416
1656833828.4052925,2390,2.9686520099639893
1656833831.203015,2437,3.1964948177337646
1656833834.1220458,2486,3.0199902057647705
1656833834.1815057,2487,3.130230665206909
1656833834.8979156,2499,3.216477155685425
1656833836.921129,2533,3.0046298503875732
1656833846.0337064,2686,2.8659844398498535
1656833852.9753106,2741,2.860159397125244
1656833866.494668,2968,3.0250933170318604
1656833870.72577,3039,2.728353977203369
1656833881.686888,3162,2.5571515560150146
1656833885.7946591,3231,3.0493733882904053
1656833886.7470493,3247,2.6545908451080322
1656833886.806436,3248,2.7197628021240234
1656833890.261813,3306,2.7032089233398438
1656833912.5690835,3619,2.854478120803833
1656833912.6896853,3621,2.72053861618042
1656833915.6674275,3671,2.6138789653778076
1656833919.8998601,3742,2.813671112060547
1656833924.2512212,3815,2.684361219406128
1656833924.667914,3822,2.518983840942383
1656833934.8319542,3929,2.5053250789642334
1656833936.4997523,3957,2.5013668537139893
1656833941.2701318,4037,2.6366357803344727
1656833944.961435,4099,2.660310745239258
1656833950.8026586,4197,2.651259660720825
1656833952.948111,4233,2.327239513397217
1656833961.6579654,4318,2.5586254596710205
1656833966.6082659,4401,2.300846815109253
1656833972.0912502,4493,2.5686168670654297
1656833973.1051106,4510,2.4285690784454346
1656833982.5829396,4669,2.745345115661621
1656833983.0614147,4677,2.6176435947418213
1656833993.403127,4789,2.4114418029785156
1656833994.2370925,4803,2.5490283966064453
1656834004.3158827,4972,2.338967800140381
1656834016.0096905,5107,2.4014828205108643
1656834017.6807852,5135,2.5222110748291016
1656834030.2664769,5346,2.5699517726898193
1656834031.1026447,5360,2.5404629707336426
1656834046.0737286,5550,2.5719311237335205
1656834053.8319466,5680,2.6364619731903076
1656834056.4593837,5724,2.4838056564331055
1656834061.5349896,5809,2.6512341499328613
1656834064.862154,5865,2.0133399963378906
1656834068.9711514,5872,2.4420833587646484
1656834071.116876,5908,2.3213226795196533
1656834076.0654318,5991,2.4009342193603516
1656834088.5951543,6201,2.532055377960205
1656834089.7299457,6220,2.4851791858673096
1656834097.5588882,6290,2.5734879970550537
1656834102.7511413,6377,2.6767568588256836
1656834114.5754378,6575,2.3829030990600586
1656834116.3101788,6604,1.9905959367752075
1656834125.6868374,6700,2.713141918182373
1656834126.4042606,6712,2.418037176132202
1656834134.9439142,6855,2.160266637802124
1656834141.6392586,6967,2.4043712615966797
1656834154.1390731,7115,2.3012335300445557
1656834156.5891597,7156,2.2995567321777344
1656834170.1536524,7383,2.3153281211853027
1656834178.4739003,7461,2.2910001277923584
1656834178.6530478,7464,2.2110629081726074
1656834179.5498528,7479,2.1964452266693115
1656834181.5201678,7512,2.4495625495910645
1656834198.070177,7789,2.1778290271759033
1656834198.66665,7799,2.1488969326019287
1656834204.4975586,7834,2.1190624237060547
1656834213.9324725,7992,2.2346351146698
1656834218.4132996,8067,2.223755121231079
1656834225.2286196,8181,2.4046056270599365
1656834231.302364,8222,2.2540535926818848
1656834239.7869194,8364,2.332761764526367
1656834240.0859778,8369,2.3872697353363037
1656834240.6255283,8378,2.0530779361724854
1656834247.8568757,8499,2.117018699645996
1656834248.4524028,8509,2.4064884185791016
1656834253.9938557,8602,2.3816847801208496
1656834274.2523038,8879,2.129767656326294
1656834277.2399883,8929,2.337888240814209
1656834277.6582623,8936,2.4893717765808105
1656834284.7797637,8994,1.9437536001205444
1656834300.7302454,9261,2.6845786571502686
1656834316.8104627,9469,2.459798574447632
1656834321.9545412,9555,2.076199769973755
1656834322.7321167,9568,2.23534893989563
1656834329.4908519,9681,2.1217546463012695
1656834330.567089,9699,1.9729104042053223
1656834342.9240694,9844,2.3101844787597656
1656834346.7531228,9908,2.4842565059661865
1656834372.4765723,10277,2.05857515335083
1656834372.8946192,10284,2.298443078994751
1656834379.8320274,10400,2.0739705562591553
1656834384.615467,10480,2.1190388202667236
1656834387.18708,10523,2.353375196456909
1656834395.9416027,10608,1.9021365642547607
1656834398.7487652,10655,2.324775457382202
1656834404.8151882,10758,2.302945137023926
1656834404.8739517,10759,2.3531763553619385
1656834406.1654017,10781,2.5137341022491455
1656834410.2667675,10851,2.361514091491699
1656834413.314982,10903,2.226834535598755
1656834413.4905577,10906,2.1907503604888916
1656834415.7175179,10944,2.1271262168884277
1656834420.722807,10967,1.7233234643936157
1656834421.1922665,10975,2.295024871826172
1656834423.8880348,11021,1.9554797410964966
1656834428.6949246,11103,1.8745360374450684
1656834429.8088026,11122,2.176572322845459
1656834451.0112998,11420,2.2063355445861816
1656834454.1192236,11473,2.0814285278320312
1656834455.2911835,11493,2.0707733631134033
1656834457.1094773,11524,2.110982656478882
1656834457.6362612,11533,1.9813258647918701
1656834459.62935,11567,1.9225256443023682
1656834466.6071203,11686,2.360532522201538
1656834474.7076132,11760,1.9384920597076416
1656834487.0161042,11970,2.225135087966919
1656834487.3086853,11975,2.1442270278930664
1656834500.5817883,12139,2.0335729122161865
1656834502.1050339,12165,1.993510365486145
1656834509.490543,12291,2.1255035400390625
1656834535.4838495,12672,1.9691011905670166
1656834547.5659978,12878,1.7768723964691162
1656834554.8329582,12940,1.9988712072372437
1656834560.4013777,13035,2.185720682144165
1656834561.9839644,13062,2.0154128074645996
1656834563.215709,13083,2.2426066398620605
1656834563.9187896,13095,1.7186375856399536
1656834564.798804,13110,2.2072110176086426
1656834585.6424892,13403,2.0563111305236816
1656834591.6277719,13505,1.7805371284484863
1656834594.0930657,13547,1.786559820175171
1656834597.0855243,13598,1.8618108034133911
1656834598.4351244,13621,2.238399028778076
1656834601.897745,13680,2.1284756660461426
1656834613.2296343,13811,2.1387436389923096
1656834617.5670278,13885,2.250911235809326
1656834632.71755,14081,2.108931541442871
1656834640.991136,14222,2.122130870819092
1656834645.2769444,14295,1.803085446357727
1656834646.802339,14321,1.9892468452453613
1656834647.8575692,14339,2.011122226715088
1656834651.31967,14398,2.2691538333892822
1656834654.2532752,14448,1.9859634637832642
1656834668.7669396,14633,1.7878684997558594
1656834669.1195393,14639,2.0221807956695557
1656834670.8787446,14669,2.234652519226074
1656834671.4068534,14678,1.9541053771972656
1656834671.9942331,14688,2.094589948654175
1656834677.389141,14780,2.350512981414795
1656834677.9168327,14789,1.937712550163269
1656834679.1490335,14810,1.8835573196411133
1656834686.5659456,14874,1.8872520923614502
1656834687.6797116,14893,1.8284929990768433
1656834699.2917893,15091,2.0797064304351807
1656834704.5951285,15181,2.2143282890319824
1656834713.2749653,15267,2.2906174659729004
1656834716.674402,15325,2.0095298290252686
1656834725.4180253,15474,2.0383803844451904
1656834725.5349932,15476,1.837040662765503
1656834727.412269,15508,2.325868606567383
