Wall time,Step,Value
1656844585.553421,43,4.57785177230835
1656844592.067727,95,4.288282871246338
1656844601.2737722,168,4.234797477722168
1656844609.0000107,230,4.255630970001221
1656844609.620527,235,4.047138214111328
1656844614.47212,274,4.173000812530518
1656844618.8274763,309,4.129345417022705
1656844619.0759208,311,4.154191493988037
1656844620.07168,319,4.04724645614624
1656844643.2486246,475,4.103488445281982
1656844650.986577,537,4.017192840576172
1656844656.3561623,580,4.00593376159668
1656844657.229488,587,3.969326972961426
1656844663.223445,635,4.000842571258545
1656844664.8463643,648,3.861645460128784
1656844673.2155445,715,3.750441312789917
1656844674.2151406,723,3.6874003410339355
1656844688.6715584,809,4.128750324249268
1656844692.170134,837,4.080129146575928
1656844714.4285588,1015,3.8352503776550293
1656844720.932817,1067,3.645437479019165
1656844725.695717,1105,3.622849941253662
1656844738.912697,1181,3.8401143550872803
1656844749.055874,1262,3.9345171451568604
1656844755.9568229,1317,3.69411563873291
1656844756.3326895,1320,3.6809165477752686
1656844758.0887418,1334,3.6156210899353027
1656844758.5903125,1338,3.6300957202911377
1656844764.6133525,1386,3.7611467838287354
1656844765.4921296,1393,3.804344415664673
1656844771.0170152,1437,3.583216428756714
1656844785.5812814,1553,3.726877212524414
1656844806.709464,1692,3.6016409397125244
1656844812.2402768,1735,3.447080135345459
1656844812.6224189,1738,3.633301019668579
1656844826.2333465,1845,3.409966468811035
1656844830.393903,1878,3.3754615783691406
1656844835.4374971,1918,3.6476078033447266
1656844854.3384495,2037,3.4592154026031494
1656844861.905475,2097,3.575169086456299
1656844875.0685081,2200,3.4603798389434814
1656844883.1779482,2263,3.4599180221557617
1656844888.8450036,2308,3.3097333908081055
1656844902.8411872,2390,3.4169061183929443
1656844908.7553518,2437,3.121830463409424
1656844914.9206877,2486,3.261557102203369
1656844915.0462372,2487,3.233133554458618
1656844916.5545712,2499,3.2657699584960938
1656844920.835062,2533,3.207298755645752
1656844940.0989764,2686,3.169684648513794
1656844950.7154791,2741,3.1586086750030518
1656844979.269373,2968,3.095491886138916
1656844988.2074828,3039,3.1928634643554688
1656845007.3540077,3162,3.0337185859680176
1656845016.0420353,3231,2.8155059814453125
1656845018.0554993,3247,3.1917619705200195
1656845018.1808927,3248,2.983147621154785
1656845025.481983,3306,3.129248857498169
1656845068.588547,3619,2.7612478733062744
1656845068.843328,3621,2.9444165229797363
1656845075.1399744,3671,2.671405076980591
1656845084.0829837,3742,2.742233991622925
1656845093.2812285,3815,3.0731844902038574
1656845094.1635368,3822,2.994239091873169
1656845111.5169268,3929,2.6095759868621826
1656845115.0397236,3957,2.6971089839935303
1656845125.1118839,4037,2.948880672454834
1656845132.9151752,4099,2.8476130962371826
1656845145.2544136,4197,3.1574513912200928
1656845149.786769,4233,2.91776442527771
1656845164.1751878,4318,3.0282747745513916
1656845174.6169662,4401,3.159294843673706
1656845186.2012525,4493,2.8794937133789062
