Wall time,Step,Value
1656932007.2813005,43,4.510376453399658
1656932013.7557726,95,4.414931774139404
1656932022.9059393,168,4.319953441619873
1656932030.7873979,230,4.230465888977051
1656932031.4042683,235,4.223718643188477
1656932036.2198594,274,4.293612480163574
1656932040.538757,309,4.158993244171143
1656932040.7861552,311,4.113173007965088
1656932041.7747242,319,4.188587665557861
1656932064.7952683,475,4.13191032409668
1656932072.4623983,537,4.022118091583252
1656932077.7885504,580,4.130983829498291
1656932078.6548188,587,3.9195563793182373
1656932084.599457,635,3.909395456314087
1656932086.2089963,648,4.150394439697266
1656932094.5120816,715,3.864180326461792
1656932095.5029452,723,3.999512195587158
1656932109.7357502,809,3.876880407333374
1656932113.2095518,837,3.8489136695861816
1656932135.3331993,1015,3.6080329418182373
1656932141.8156748,1067,4.057806491851807
1656932146.5555289,1105,3.9509189128875732
1656932159.5076437,1181,3.6664860248565674
1656932169.5797808,1262,3.6740357875823975
1656932176.4233687,1317,3.6911098957061768
1656932176.7977288,1320,3.6257200241088867
1656932178.5387554,1334,3.9516260623931885
1656932179.0378816,1338,3.719888210296631
1656932185.0114605,1386,3.7266769409179688
1656932185.8817058,1393,3.860363245010376
1656932191.359277,1437,3.7628302574157715
1656932205.8034463,1553,3.5938355922698975
1656932226.6820922,1692,3.5233874320983887
1656932232.0343714,1735,3.7085323333740234
1656932232.408627,1738,3.659027338027954
1656932245.729327,1845,3.415005922317505
1656932249.836139,1878,3.5721967220306396
1656932254.8196962,1918,3.3943941593170166
1656932273.1413167,2037,3.279003143310547
1656932280.6153321,2097,3.2956085205078125
1656932293.453866,2200,3.2955574989318848
1656932301.3086097,2263,3.81209397315979
1656932306.9144921,2308,3.32153582572937
1656932320.7066228,2390,3.3135085105895996
1656932326.5600042,2437,3.339860200881958
1656932332.663388,2486,3.306758403778076
1656932332.7894065,2487,3.397963762283325
1656932334.2835734,2499,3.4736671447753906
1656932338.523463,2533,3.119019031524658
1656932357.6030123,2686,3.296438455581665
1656932368.0116343,2741,3.0925819873809814
1656932396.324227,2968,3.241360902786255
1656932405.1872542,3039,2.9712324142456055
1656932424.0378883,3162,3.0123298168182373
1656932432.653401,3231,2.9402265548706055
1656932434.6502442,3247,3.300773859024048
1656932434.775029,3248,3.055863857269287
1656932442.015918,3306,3.1113812923431396
1656932484.5823803,3619,3.106466770172119
1656932484.831363,3621,2.916684627532959
1656932491.0730681,3671,2.7440974712371826
1656932499.9376903,3742,2.8913679122924805
1656932509.0503387,3815,2.8762104511260986
1656932509.9256666,3822,3.0415658950805664
1656932526.923826,3929,3.0560410022735596
1656932530.4153354,3957,2.8216331005096436
1656932540.3986385,4037,2.665520429611206
1656932548.1371524,4099,2.7131187915802
1656932560.373493,4197,2.899279832839966
1656932564.868771,4233,2.6707067489624023
1656932578.9747717,4318,2.8132786750793457
1656932589.330631,4401,2.674464464187622
1656932600.8207572,4493,2.9775729179382324
1656932602.9452016,4510,2.8532910346984863
1656932622.80596,4669,2.8104798793792725
1656932623.8063312,4677,3.006223440170288
1656932641.2730503,4789,2.5964977741241455
1656932643.0228708,4803,2.590771198272705
1656932664.1308062,4972,2.6034421920776367
1656932684.4570105,5107,2.5641214847564697
1656932687.942154,5135,2.6913304328918457
1656932714.2370775,5346,2.3553619384765625
1656932715.982847,5360,2.539738893508911
1656932743.2204897,5550,2.680243968963623
1656932759.4204023,5680,2.6180214881896973
1656932764.905393,5724,2.8005688190460205
1656932775.5013099,5809,2.8668670654296875
1656932782.4437323,5865,2.5644898414611816
1656932786.8687737,5872,2.3929150104522705
1656932791.3513184,5908,2.6692590713500977
1656932801.6940699,5991,2.4909186363220215
1656932827.872906,6201,2.5637729167938232
1656932830.2405498,6220,2.5697624683380127
1656932842.433138,6290,2.257394790649414
1656932853.2755651,6377,2.3943979740142822
1656932877.9534888,6575,2.408891439437866
1656932881.567704,6604,2.5422966480255127
1656932897.0391736,6700,2.4305992126464844
1656932898.5353057,6712,2.345264196395874
1656932916.3597066,6855,2.166752576828003
1656932930.3210323,6967,2.5532755851745605
1656932952.2601843,7115,2.5119025707244873
1656932957.3712947,7156,2.4330344200134277
1656932985.6622272,7383,2.54819393157959
1656932998.9578636,7461,2.3729825019836426
1656932999.330873,7464,2.2161927223205566
1656933001.199758,7479,2.365783929824829
1656933005.3134732,7512,2.484692335128784
1656933039.8499475,7789,2.6035408973693848
1656933041.0954826,7799,2.542208671569824
1656933049.0537984,7834,2.68969464302063
1656933068.7327204,7992,2.479062557220459
1656933078.0781913,8067,2.586333990097046
1656933092.284676,8181,2.663039445877075
1656933100.8954744,8222,2.359025716781616
1656933118.591267,8364,2.4545986652374268
1656933119.2157655,8369,2.3565077781677246
1656933120.337771,8378,2.351152181625366
1656933135.425418,8499,2.2713327407836914
1656933136.6734571,8509,2.4080796241760254
1656933148.2326915,8602,2.1798956394195557
1656933186.2700558,8879,2.5720224380493164
1656933192.6081293,8929,2.383551597595215
1656933193.5231001,8936,2.4692165851593018
1656933204.449754,8994,2.2445826530456543
1656933237.8252025,9261,2.2865657806396484
1656933267.3035705,9469,2.306819200515747
1656933278.0503619,9555,2.3898987770080566
1656933279.6718016,9568,2.2110342979431152
1656933293.7975929,9681,2.497579336166382
1656933296.0474613,9699,2.384209156036377
1656933317.6628568,9844,2.2515218257904053
1656933325.6513696,9908,2.4244816303253174
1656933375.258574,10277,2.463143825531006
1656933376.132788,10284,2.062331199645996
1656933390.6246295,10400,2.450025796890259
1656933400.6287842,10480,2.4948906898498535
1656933406.0062864,10523,2.394198179244995
