task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
meniscus,axial,0.00001,0.5,0.2458,0.8334,0.7667,0.7885,0.75
abnormal,axial,0.00001,0.5,0.1007,0.9482,0.8833,0.8842,0.88
acl,coronal,0,0.4,0.192,0.9217,0.85,0.8704,0.8333
acl,sagittal,0,0.4,0.1728,0.9377,0.8417,0.7778,0.8939
acl,axial,0,0.4,0.1424,0.9557,0.875,0.8889,0.8636
meniscus,coronal,0,0.4,0.2605,0.8213,0.725,0.6731,0.7647
abnormal,sagittal,0,0.4,0.0925,0.9533,0.8,0.7579,0.96
meniscus,sagittal,0,0.4,0.284,0.7902,0.7,0.9231,0.5294
abnormal,coronal,0,0.4,0.1473,0.88,0.8417,0.8632,0.76
meniscus,axial,0,0.4,0.2474,0.8343,0.7667,0.75,0.7794
abnormal,axial,0,0.4,0.1023,0.9457,0.875,0.9263,0.68
acl,coronal,0.00001,0.7,0.1896,0.9186,0.8417,0.8148,0.8636
acl,sagittal,0.00001,0.7,0.1764,0.9369,0.8583,0.7778,0.9242
acl,axial,0.00001,0.7,0.1424,0.9543,0.875,0.8889,0.8636
meniscus,coronal,0.00001,0.7,0.2621,0.821,0.725,0.6538,0.7794
abnormal,sagittal,0.00001,0.7,0.0981,0.9545,0.8083,0.7789,0.92
meniscus,sagittal,0.00001,0.7,0.2849,0.7921,0.7083,0.9231,0.5441
abnormal,coronal,0.00001,0.7,0.1472,0.8796,0.8,0.7789,0.88
meniscus,axial,0.00001,0.7,0.2463,0.8343,0.7417,0.7115,0.7647
abnormal,axial,0.00001,0.7,0.1015,0.9432,0.8833,0.8842,0.88
acl,coronal,0,0.6,0.1912,0.9189,0.85,0.8519,0.8485
acl,sagittal,0,0.6,0.1751,0.9366,0.8417,0.7407,0.9242
acl,axial,0,0.6,0.1431,0.9531,0.8667,0.8519,0.8788
meniscus,coronal,0,0.6,0.2599,0.8235,0.75,0.75,0.75
abnormal,sagittal,0,0.6,0.0922,0.9545,0.7667,0.7158,0.96
meniscus,sagittal,0,0.6,0.2858,0.7879,0.6833,0.9231,0.5
abnormal,coronal,0,0.6,0.1486,0.8817,0.7083,0.6526,0.92
meniscus,axial,0,0.6,0.2463,0.8329,0.7583,0.75,0.7647
abnormal,axial,0,0.6,0.1018,0.9469,0.8583,0.8526,0.88
acl,coronal,0,0.5,0.1924,0.9214,0.8583,0.8889,0.8333
acl,sagittal,0,0.5,0.1786,0.9366,0.8417,0.7778,0.8939
acl,axial,0,0.5,0.1436,0.9545,0.9,0.9444,0.8636
meniscus,coronal,0,0.5,0.2583,0.8213,0.7583,0.7692,0.75
abnormal,sagittal,0,0.5,0.0924,0.9541,0.8083,0.7789,0.92
meniscus,sagittal,0,0.5,0.2758,0.7919,0.7,0.9038,0.5441
abnormal,coronal,0,0.5,0.146,0.8834,0.8,0.7789,0.88
meniscus,axial,0,0.5,0.2458,0.8334,0.7667,0.7885,0.75
abnormal,axial,0,0.5,0.1007,0.9482,0.8833,0.8842,0.88
