epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.22,0.8,0.8182,0.2,1.0,0.175,0.9433,0.875,0.8148,0.9242,0.3179,0.9091,0.6522,0.3333,1.0
1,0.192,0.75,0.7727,0.5,0.8333,0.1741,0.9436,0.875,0.8148,0.9242,0.3326,0.8769,0.6522,0.3846,1.0
2,0.1654,0.8596,0.9091,0.3333,1.0,0.1735,0.9442,0.875,0.8148,0.9242,0.3236,0.7727,0.6957,0.5455,0.8333
3,0.1924,0.875,0.7273,0.0,0.8889,0.1732,0.9439,0.875,0.8148,0.9242,0.2794,0.9365,0.7826,0.5556,0.9286
4,0.1833,0.9167,0.8182,0.5,0.8889,0.1724,0.9444,0.875,0.8148,0.9242,0.2893,0.9444,0.8696,0.6667,1.0
5,0.2265,0.8854,0.7727,0.5,0.875,0.1707,0.9439,0.875,0.8148,0.9242,0.3233,0.8182,0.6957,0.4167,1.0
6,0.2045,0.8235,0.8636,0.8,0.8824,0.1688,0.9439,0.8583,0.8148,0.8939,0.2792,0.8235,0.7826,0.5,0.8824
7,0.2006,0.8,0.6818,0.6,0.7059,0.168,0.9439,0.8583,0.8148,0.8939,0.2802,1.0,0.8261,0.6364,1.0
8,0.2037,0.9896,0.8636,1.0,0.8125,0.1676,0.9428,0.85,0.8148,0.8788,0.2733,0.9107,0.7826,0.4286,0.9375
9,0.2235,0.5647,0.6364,0.4,0.7059,0.1672,0.9433,0.85,0.8148,0.8788,0.2918,0.8583,0.7826,0.75,0.8
10,0.1718,0.8421,0.7273,0.6667,0.7368,0.1674,0.9436,0.85,0.8148,0.8788,0.3009,0.8712,0.6522,0.5,0.8182
11,0.2222,0.9429,0.8182,1.0,0.7333,0.1671,0.943,0.8417,0.8148,0.8636,0.2938,0.8462,0.6957,0.7,0.6923
12,0.1917,0.6944,0.6364,0.5,0.6667,0.1672,0.9425,0.8417,0.8148,0.8636,0.285,0.875,0.8261,0.625,0.9333
13,0.1958,0.9583,0.7727,0.8333,0.75,0.167,0.943,0.85,0.8333,0.8636,0.3228,0.6846,0.6522,0.7,0.6154
14,0.1627,0.9298,0.6364,1.0,0.5789,0.1674,0.9433,0.8417,0.8148,0.8636,0.2819,0.9621,0.8696,0.8182,0.9167
15,0.2078,0.8021,0.5455,0.8333,0.4375,0.167,0.943,0.85,0.8333,0.8636,0.2821,0.947,0.8696,0.9167,0.8182
16,0.1765,0.8194,0.8636,0.75,0.8889,0.1671,0.943,0.85,0.8333,0.8636,0.2842,0.8571,0.7391,0.6667,0.7857
17,0.2175,0.7604,0.6364,1.0,0.5,0.1679,0.9425,0.85,0.8333,0.8636,0.3024,0.8409,0.7391,0.8182,0.6667
18,0.2091,0.7059,0.5909,1.0,0.4706,0.1685,0.9422,0.85,0.8333,0.8636,0.2794,0.9385,0.8261,1.0,0.6923
19,0.2334,0.7238,0.5,0.7143,0.4,0.1685,0.9411,0.8417,0.8333,0.8485,0.28,0.9621,0.913,0.9091,0.9167
