epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1782,0.8303,0.806,0.9091,0.3333,0.1461,0.8817,0.8167,0.8316,0.76,0.1667,0.8735,0.8971,0.9464,0.6667
1,0.191,0.9106,0.8657,0.9,0.7647,0.1445,0.8825,0.8,0.7895,0.84,0.1905,0.8161,0.8088,0.8704,0.5714
2,0.1776,0.8885,0.7761,0.7692,0.8,0.145,0.8834,0.7833,0.7684,0.84,0.1656,0.8341,0.8676,0.9123,0.6364
3,0.1856,0.8738,0.7015,0.6078,1.0,0.1458,0.8821,0.7833,0.7684,0.84,0.1819,0.8519,0.7941,0.8148,0.7143
4,0.1822,0.8603,0.6866,0.6346,0.8667,0.1457,0.8813,0.7833,0.7684,0.84,0.2004,0.7606,0.8235,0.8889,0.5714
5,0.1504,0.9373,0.8358,0.8148,0.9231,0.1458,0.8817,0.775,0.7579,0.84,0.1631,0.831,0.7941,0.8448,0.5
6,0.1674,0.8846,0.7463,0.6923,0.9333,0.1473,0.8813,0.7833,0.7579,0.88,0.1572,0.922,0.8676,0.8519,0.9286
7,0.174,0.8045,0.791,0.8364,0.5833,0.1481,0.8792,0.775,0.7474,0.88,0.1678,0.8823,0.8088,0.7963,0.8571
8,0.1635,0.8405,0.6716,0.6296,0.8462,0.1472,0.8787,0.7833,0.7579,0.88,0.1645,0.8685,0.8529,0.8727,0.7692
9,0.1776,0.8615,0.7612,0.75,0.8,0.1485,0.8787,0.775,0.7474,0.88,0.1854,0.7464,0.7794,0.8246,0.5455
10,0.17,0.8885,0.791,0.75,0.9333,0.1486,0.8787,0.7667,0.7368,0.88,0.1716,0.7534,0.7794,0.8103,0.6
11,0.1384,0.8792,0.791,0.7797,0.875,0.1472,0.8787,0.7833,0.7579,0.88,0.2014,0.8063,0.8088,0.8868,0.5333
12,0.1897,0.6758,0.5522,0.5636,0.5,0.1468,0.8787,0.775,0.7579,0.84,0.1695,0.8981,0.8971,0.9434,0.7333
13,0.154,0.8161,0.7015,0.7069,0.6667,0.1462,0.8783,0.775,0.7579,0.84,0.1924,0.7636,0.8382,0.9091,0.5385
14,0.1559,0.9232,0.806,0.7736,0.9286,0.1462,0.8783,0.775,0.7579,0.84,0.1519,0.9189,0.8529,0.8909,0.6923
15,0.1637,0.9003,0.8358,0.8302,0.8571,0.1463,0.8787,0.775,0.7579,0.84,0.1667,0.9195,0.8382,0.8868,0.6667
16,0.1782,0.6997,0.6716,0.6607,0.7273,0.1462,0.8783,0.775,0.7579,0.84,0.154,0.8345,0.8382,0.8793,0.6
17,0.1704,0.9077,0.791,0.8269,0.6667,0.1464,0.8787,0.775,0.7579,0.84,0.1735,0.7656,0.8382,0.8947,0.5455
18,0.1516,0.8458,0.8209,0.8393,0.7273,0.1463,0.8779,0.775,0.7579,0.84,0.2082,0.7748,0.7941,0.8679,0.5333
19,0.1705,0.8319,0.7463,0.7593,0.6923,0.1465,0.8787,0.775,0.7579,0.84,0.1515,0.9441,0.8971,0.9273,0.7692
