task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
acl,sagittal,0.001,0.3,0.1737,0.9366,0.8583,0.8333,0.8788
acl,axial,0.001,0.3,0.148,0.9526,0.8917,0.9259,0.8636
meniscus,coronal,0.001,0.3,0.2595,0.8255,0.7583,0.8269,0.7059
abnormal,sagittal,0.001,0.3,0.1087,0.9499,0.7417,0.6947,0.92
meniscus,sagittal,0.001,0.3,0.2738,0.7862,0.55,0.9808,0.2206
abnormal,coronal,0.001,0.3,0.1478,0.8766,0.8083,0.8211,0.76
meniscus,axial,0.001,0.3,0.2519,0.8298,0.6333,0.9423,0.3971
abnormal,axial,0.001,0.3,0.1027,0.9474,0.8667,0.8421,0.96
acl,coronal,0.0005,0.1,0.1856,0.9268,0.8583,0.8889,0.8333
acl,sagittal,0.0005,0.1,0.1764,0.9369,0.85,0.7778,0.9091
acl,axial,0.0005,0.1,0.1478,0.9531,0.8583,0.7778,0.9242
meniscus,coronal,0.0005,0.1,0.2557,0.8402,0.7583,0.75,0.7647
abnormal,sagittal,0.0005,0.1,0.098,0.9558,0.8,0.7579,0.96
meniscus,sagittal,0.0005,0.1,0.2892,0.7774,0.6667,0.9423,0.4559
abnormal,coronal,0.0005,0.1,0.148,0.8834,0.7333,0.6947,0.88
meniscus,axial,0.0005,0.1,0.2467,0.8346,0.7667,0.7692,0.7647
abnormal,axial,0.0005,0.1,0.117,0.9427,0.8083,0.7684,0.96
acl,coronal,0.04,0.1,0.3112,0.7767,0.7167,0.5926,0.8182
acl,sagittal,0.04,0.1,0.2727,0.8945,0.7833,0.6481,0.8939
acl,axial,0.04,0.1,0.217,0.9315,0.85,0.8704,0.8333
meniscus,coronal,0.04,0.1,0.3027,0.8111,0.7083,0.75,0.6765
abnormal,sagittal,0.04,0.1,0.1543,0.9242,0.5917,0.4947,0.96
meniscus,sagittal,0.04,0.1,0.3167,0.7121,0.6,0.8846,0.3824
abnormal,coronal,0.04,0.1,0.1557,0.8813,0.7417,0.7053,0.88
meniscus,axial,0.04,0.1,0.3148,0.7175,0.575,0.8654,0.3529
abnormal,axial,0.04,0.1,0.1495,0.92,0.8667,0.9053,0.72
acl,coronal,0.005,0.1,0.1949,0.9279,0.825,0.9444,0.7273
acl,sagittal,0.005,0.1,0.1756,0.9402,0.8417,0.7778,0.8939
